PAYS,Code,Location,Longitude,Latitude,Date,I_131_(Bq/m3),Cs_134_(Bq/m3),Cs_137_(Bq/m3)
DE,2,AACHEN(RWTH),6.1,50.76,86/05/03,0,0,
DE,2,AACHEN(RWTH),6.1,50.76,86/05/03,0,0.36,
DE,2,AACHEN(RWTH),6.1,50.76,86/05/03,0,0.27,
DE,2,AACHEN(RWTH),6.1,50.76,86/05/03,0,0,
DE,2,AACHEN(RWTH),6.1,50.76,86/05/04,0,0.03,
DE,2,AACHEN(RWTH),6.1,50.76,86/05/05,0,0.02,
DE,2,AACHEN(RWTH),6.1,50.76,86/05/06,0,0.03,
DE,2,AACHEN(RWTH),6.1,50.76,86/05/07,0,0.008,
DE,2,AACHEN(RWTH),6.1,50.76,86/05/07,0,0.006,
DE,2,AACHEN(RWTH),6.1,50.76,86/05/08,0,0,
DE,2,AACHEN(RWTH),6.1,50.76,86/05/09,0,0.007,1.184
DE,2,AACHEN(RWTH),6.1,50.76,86/05/10,0,0,
DE,2,AACHEN(RWTH),6.1,50.76,86/05/11,0,0,1.221
DE,2,AACHEN(RWTH),6.1,50.76,86/05/12,0,0.001,
DE,2,AACHEN(RWTH),6.1,50.76,86/05/13,0,0.001,0.411
DE,2,ANSBACH,10.59,49.3,86/04/29,0.69,0,0.56
DE,2,ANSBACH,10.59,49.3,86/04/30,5.8,0,2.9
DE,2,ANSBACH,10.59,49.3,86/05/01,5.626,0,3.014
DE,2,ANSBACH,10.59,49.3,86/05/02,2.9,0,2.17
DE,2,ANSBACH,10.59,49.3,86/05/03,1.4,0,0.96
DE,2,ANSBACH,10.59,49.3,86/05/04,0.367,0,0.263
DE,2,ANSBACH,10.59,49.3,86/05/05,0.622,0,0.625
DE,2,ANSBACH,10.59,49.3,86/05/06,0.148,0,0.11
DE,2,ANSBACH,10.59,49.3,86/05/07,0.038,0,0.022
DE,2,BERLIN-WEST,13.42,52.5,86/04/29,0.088,0,0.0012
DE,2,BERLIN-WEST,13.42,52.5,86/04/30,2.64,1.021,
DE,2,BERLIN-WEST,13.42,52.5,86/05/01,0.85,0.318,0
DE,2,BERLIN-WEST,13.42,52.5,86/05/02,0.09,0.0037,
DE,2,BERLIN-WEST,13.42,52.5,86/05/03,0.215,0.0026,0.0026
DE,2,BERLIN-WEST,13.42,52.5,86/05/04,0.814,0.115,
DE,2,BERLIN-WEST,13.42,52.5,86/05/05,0.533,0.118,0.0015
DE,2,BERLIN-WEST,13.42,52.5,86/05/06,0.451,0.04,
DE,2,BERLIN-WEST,13.42,52.5,86/05/07,0.728,0.087,0.00154
DE,2,BERLIN-WEST,13.42,52.5,86/05/08,0.26,0.115,
DE,2,BERLIN-WEST,13.42,52.5,86/05/09,0.012,0.0011,0
DE,2,BERLIN-WEST,13.42,52.5,86/05/10,0.01,0.00037,
DE,2,BERLIN-WEST,13.42,52.5,86/05/11,0.0063,0.00074,0.14
DE,2,BERLIN-WEST,13.42,52.5,86/05/12,0.0053,0.00077,
DE,2,BERLIN-WEST,13.42,52.5,86/05/19,0.0074,0.00204,2
DE,2,BERLIN-WEST,13.42,52.5,86/05/26,0.0012,0.00057,
DE,2,BROTJACKLRIEGEL,12.78,49.2,86/04/29,2.2,0,0.83
DE,2,BROTJACKLRIEGEL,12.78,49.2,86/04/30,19.65,0,11.1
DE,2,BROTJACKLRIEGEL,12.78,49.2,86/05/01,15.6,0,8.8
DE,2,BROTJACKLRIEGEL,12.78,49.2,86/05/02,1.38,0,0.55
DE,2,BROTJACKLRIEGEL,12.78,49.2,86/05/03,1.31,0,1.42
DE,2,BROTJACKLRIEGEL,12.78,49.2,86/05/04,1.25,0,1.12
DE,2,BROTJACKLRIEGEL,12.78,49.2,86/05/05,0.77,0,0.59
DE,2,BROTJACKLRIEGEL,12.78,49.2,86/05/06,0.49,0,0.36
DE,2,BROTJACKLRIEGEL,12.78,49.2,86/05/07,0.5,0,0.36
DE,2,BROTJACKLRIEGEL,12.78,49.2,86/05/08,0.025,0,0.027
DE,2,FREIBURG(BZS),7.87,48,86/04/30,0.76,0.15,0.56
DE,2,FREIBURG(BZS),7.87,48,86/05/01,0.77,0.078,
DE,2,FREIBURG(BZS),7.87,48,86/05/01,2.1,0.34,1.1
DE,2,FREIBURG(BZS),7.87,48,86/05/01,3.8,1.09,
DE,2,FREIBURG(BZS),7.87,48,86/05/02,5.7,2.1,0.89
DE,2,FREIBURG(BZS),7.87,48,86/05/02,5,1.8,
DE,2,FREIBURG(BZS),7.87,48,86/05/02,3.9,1.4,0.53
DE,2,FREIBURG(BZS),7.87,48,86/05/02,2.6,0.41,
DE,2,FREIBURG(BZS),7.87,48,86/05/03,1.3,0.35,0.38
DE,2,FREIBURG(BZS),7.87,48,86/05/03,1.46,0.33,
DE,2,FREIBURG(BZS),7.87,48,86/05/04,0.36,0.11,0.05
DE,2,FREIBURG(BZS),7.87,48,86/05/05,0.13,0.03,
DE,2,FREIBURG(BZS),7.87,48,86/05/06,0.13,0.03,0.04
DE,2,FREIBURG(BZS),7.87,48,86/05/06,0.18,0.04,
DE,2,FREIBURG(BZS),7.87,48,86/05/07,0.089,0.021,0.07
DE,2,FREIBURG(BZS),7.87,48,86/05/07,0.015,0.0016,
DE,2,FREIBURG(BZS),7.87,48,86/05/08,0.012,0.0019,0.02
DE,2,FREIBURG(BZS),7.87,48,86/05/08,0.015,0.0022,
DE,2,FREIBURG(BZS),7.87,48,86/05/09,0.013,0.0013,0.01
DE,2,FREIBURG(BZS),7.87,48,86/05/10,0.01,0.0014,
DE,2,FREIBURG(BZS),7.87,48,86/05/11,0.0035,0,0.02
DE,2,FREIBURG(BZS),7.87,48,86/05/12,0.0002,0,
DE,2,FREIBURG(BZS),7.87,48,86/05/13,0.0029,0,0.01
DE,2,FREIBURG(BZS),7.87,48,86/05/14,0.003,0,
DE,2,FREIBURG(BZS),7.87,48,86/05/15,0.0025,0,0.006
DE,2,FREIBURG(DWD),7.87,48,86/05/01,0.059,0.0074,
DE,2,FREIBURG(DWD),7.87,48,86/05/02,5.66,2.257,0.008
DE,2,FREIBURG(DWD),7.87,48,86/05/03,1.7,0.481,
DE,2,FREIBURG(DWD),7.87,48,86/05/04,5.44,1.258,0.003
DE,2,FREIBURG(DWD),7.87,48,86/05/05,0.226,0.063,
DE,2,FREIBURG(DWD),7.87,48,86/05/09,0.222,0.104,0.005
DE,2,FREIBURG(DWD),7.87,48,86/05/10,0.025,0.0041,
DE,2,FREIBURG(DWD),7.87,48,86/05/16,0.0048,0.001,
DE,2,FREIBURG(DWD),7.87,48,86/05/23,0.003,0.0013,
DE,2,FREIBURG(DWD),7.87,48,86/05/30,0.0017,0.0016,
DE,2,GOETTINGEN,9.95,51.53,86/04/30,0.0026,0,0.0012
DE,2,GOETTINGEN,9.95,51.53,86/05/02,0.0387,0,0.0049
DE,2,GOETTINGEN,9.95,51.53,86/05/02,4.2,0.62,1.3
DE,2,GOETTINGEN,9.95,51.53,86/05/03,0.89,0,0.27
DE,2,GOETTINGEN,9.95,51.53,86/05/04,1.1,0.2,0.45
DE,2,GOETTINGEN,9.95,51.53,86/05/05,0.79,0.15,0.31
DE,2,GOETTINGEN,9.95,51.53,86/05/05,2,0.34,0.86
DE,2,GOETTINGEN,9.95,51.53,86/05/06,0.57,0,0.39
DE,2,GOETTINGEN,9.95,51.53,86/05/06,0.62,0.11,0.23
DE,2,GOETTINGEN,9.95,51.53,86/05/07,0.3,0.08,0.16
DE,2,GOETTINGEN,9.95,51.53,86/05/07,0.082,0.009,0.017
DE,2,GOETTINGEN,9.95,51.53,86/05/09,0.03,0.0019,0.0039
DE,2,GOETTINGEN,9.95,51.53,86/05/12,0.0085,0.0008,0.0016
DE,2,GOETTINGEN,9.95,51.53,86/05/13,0.012,0.0027,0.0041
DE,2,GOETTINGEN,9.95,51.53,86/05/14,0.009,0.0011,0.0018
DE,2,GOETTINGEN,9.95,51.53,86/05/15,0.0072,0.0007,0.0016
DE,2,GOETTINGEN,9.95,51.53,86/05/16,0.0062,0.0016,0.0035
DE,2,GOETTINGEN,9.95,51.53,86/05/18,0.0047,0.0017,0.0033
DE,2,GOETTINGEN,9.95,51.53,86/05/20,0.0027,0.0011,0.002
DE,2,GOETTINGEN,9.95,51.53,86/05/21,0.003,0.0015,0.0028
DE,2,GOETTINGEN,9.95,51.53,86/05/22,0.0021,0.0008,0.0015
DE,2,GOETTINGEN,9.95,51.53,86/05/23,0.003,0.0009,0.0023
DE,2,GOETTINGEN,9.95,51.53,86/05/25,0.0017,0.001,0.0018
DE,2,GOETTINGEN,9.95,51.53,86/05/26,0.0022,0.0009,0.002
DE,2,GOETTINGEN,9.95,51.53,86/05/27,0.0031,0.0013,0.0024
DE,2,GOETTINGEN,9.95,51.53,86/05/28,0.0023,0.0009,0.0018
DE,2,GOETTINGEN,9.95,51.53,86/05/29,0.0012,0.0007,0.0012
DE,2,GOETTINGEN,9.95,51.53,86/05/30,0.00091,0.00029,0.00068
DE,2,HANNOVER,9.73,52.38,86/05/01,0.001,0,0
DE,2,HANNOVER,9.73,52.38,86/05/02,0.018,0,0
DE,2,HANNOVER,9.73,52.38,86/05/03,0.389,0.037,0.074
DE,2,HANNOVER,9.73,52.38,86/05/04,0.629,0.093,0.189
DE,2,HANNOVER,9.73,52.38,86/05/05,0.444,0.067,0.13
DE,2,HANNOVER,9.73,52.38,86/05/06,0.392,0.107,0.226
DE,2,HANNOVER,9.73,52.38,86/05/07,0.192,0.046,0.093
DE,2,HANNOVER,9.73,52.38,86/05/08,0.02,0.002,0.004
DE,2,HANNOVER,9.73,52.38,86/05/09,0.01,0.0007,0.0015
DE,2,HANNOVER,9.73,52.38,86/05/10,0.008,0.0004,0.0015
DE,2,HANNOVER,9.73,52.38,86/05/11,0.004,0,0.001
DE,2,HANNOVER,9.73,52.38,86/05/12,0.0072,0.0007,0.0009
DE,2,HANNOVER,9.73,52.38,86/05/14,0.004,0.0007,0.0014
DE,2,HANNOVER,9.73,52.38,86/05/26,0.0021,0.0009,0.0019
DE,2,KARLSRUHE,8.67,49,86/04/30,0,0.005,0.016
DE,2,KARLSRUHE,8.67,49,86/05/01,0,0.0062,0.012
DE,2,KARLSRUHE,8.67,49,86/05/01,0,1.9,3.7
DE,2,KARLSRUHE,8.67,49,86/05/02,0,3.3,5.9
DE,2,KARLSRUHE,8.67,49,86/05/02,0,2.9,5.2
DE,2,KARLSRUHE,8.67,49,86/05/03,0,1,2.5
DE,2,KARLSRUHE,8.67,49,86/05/03,0,0.63,1.5
DE,2,KARLSRUHE,8.67,49,86/05/04,0,0.28,0.56
DE,2,KARLSRUHE,8.67,49,86/05/04,0,0.0037,0.069
DE,2,KARLSRUHE,8.67,49,86/05/05,0,0.088,0.17
DE,2,KARLSRUHE,8.67,49,86/05/05,0,0.08,0.13
DE,2,KARLSRUHE,8.67,49,86/05/06,0,0.049,0.095
DE,2,KARLSRUHE,8.67,49,86/05/06,0,0.051,0.11
DE,2,KARLSRUHE,8.67,49,86/05/07,0,0.032,0.078
DE,2,KARLSRUHE,8.67,49,86/05/08,0,0.0019,0.0027
DE,2,KARLSRUHE,8.67,49,86/05/09,0,0.0013,0.002
DE,2,KARLSRUHE,8.67,49,86/05/10,0,0.0022,0.0032
DE,2,KARLSRUHE,8.67,49,86/05/11,0,0,0.0017
DE,2,KARLSRUHE,8.67,49,86/05/12,0,0,0.00092
DE,2,KARLSRUHE,8.67,49,86/05/14,0,0,0.00081
DE,2,MEINERZHAGEN,7.65,51.11,86/05/01,0.715,0,0.368
DE,2,MEINERZHAGEN,7.65,51.11,86/05/02,1.921,0,1.064
DE,2,MEINERZHAGEN,7.65,51.11,86/05/03,1.379,0,0.757
DE,2,MEINERZHAGEN,7.65,51.11,86/05/04,0.354,0,0.18
DE,2,MEINERZHAGEN,7.65,51.11,86/05/05,0.425,0,0.309
DE,2,MEINERZHAGEN,7.65,51.11,86/05/06,0.213,0,0.179
DE,2,MEINERZHAGEN,7.65,51.11,86/05/07,0.222,0,0.077
DE,2,NEUHERBERG,11.58,48.13,86/04/30,1.1,0.26,0.59
DE,2,NEUHERBERG,11.58,48.13,86/04/30,21,4,9.2
DE,2,NEUHERBERG,11.58,48.13,86/04/30,9.3,1.7,3.7
DE,2,NEUHERBERG,11.58,48.13,86/05/01,6.5,1.8,3.5
DE,2,NEUHERBERG,11.58,48.13,86/05/01,13,4.1,7.5
DE,2,NEUHERBERG,11.58,48.13,86/05/01,14,2.4,4.5
DE,2,NEUHERBERG,11.58,48.13,86/05/02,3.8,1.1,2.1
DE,2,NEUHERBERG,11.58,48.13,86/05/02,4.2,1.1,2.1
DE,2,NEUHERBERG,11.58,48.13,86/05/02,2.7,0.53,0.96
DE,2,NEUHERBERG,11.58,48.13,86/05/03,1.4,0.44,0.8
DE,2,NEUHERBERG,11.58,48.13,86/05/04,0.89,0.27,0.58
DE,2,NEUHERBERG,11.58,48.13,86/05/05,0.6,0.19,0.46
DE,2,NEUHERBERG,11.58,48.13,86/05/06,0.32,0.09,0.12
DE,2,NEUHERBERG,11.58,48.13,86/05/07,0.36,0.12,0.3
DE,2,NEUHERBERG,11.58,48.13,86/05/08,0.13,0.036,0.077
DE,2,NEUHERBERG,11.58,48.13,86/05/09,0.014,0.0016,0.0042
DE,2,NEUHERBERG,11.58,48.13,86/05/10,0.016,0.0024,0.0043
DE,2,NEUHERBERG,11.58,48.13,86/05/11,0.013,0,0.0051
DE,2,NEUHERBERG,11.58,48.13,86/05/12,0.0056,0.0027,0.0022
DE,2,NEUHERBERG,11.58,48.13,86/05/13,0.0026,<,0.0034
DE,2,NEUHERBERG,11.58,48.13,86/05/15,0.0032,<,0.00085
DE,2,NEUHERBERG,11.58,48.13,86/05/21,<,0.00026,<
DE,2,NORDERNEY,7.15,53.71,86/05/02,0.248,0,0.089
DE,2,NORDERNEY,7.15,53.71,86/05/03,0.363,0.052,0.111
DE,2,NORDERNEY,7.15,53.71,86/05/04,0.44,0.115,0.229
DE,2,NORDERNEY,7.15,53.71,86/05/05,0.071,0,0.0063
DE,2,NORDERNEY,7.15,53.71,86/05/06,0.333,0.085,0.189
DE,2,NORDERNEY,7.15,53.71,86/05/07,0.028,0.0078,0.0166
DE,2,NORDERNEY,7.15,53.71,86/05/08,0.0066,0.0015,0.0018
DE,2,NORDERNEY,7.15,53.71,86/05/09,0.0046,0.00067,0.0015
DE,2,NORDERNEY,7.15,53.71,86/05/10,0.0037,0.00074,0.00074
DE,2,NORDERNEY,7.15,53.71,86/05/12,0.0015,0.00026,0.00048
DE,2,NORDERNEY,7.15,53.71,86/05/19,0.00152,0.00049,0.00095
DE,2,NORDERNEY,7.15,53.71,86/05/26,0.00107,0.00093,0.00189
DE,2,NORDERNEY,7.15,53.71,86/08/04,0,0,0.00007
DE,2,OFFENBACH,8.77,50.1,86/04/30,0.002,0.0006,0.0013
DE,2,OFFENBACH,8.77,50.1,86/05/01,0.011,0.001,0.002
DE,2,OFFENBACH,8.77,50.1,86/05/02,3.441,0.925,1.443
DE,2,OFFENBACH,8.77,50.1,86/05/03,1.04,0.3,0.44
DE,2,OFFENBACH,8.77,50.1,86/05/04,0.85,0.26,0.41
DE,2,OFFENBACH,8.77,50.1,86/05/05,0.37,0.1,0.16
DE,2,OFFENBACH,8.77,50.1,86/05/06,0.141,0.041,0.074
DE,2,OFFENBACH,8.77,50.1,86/05/07,0.13,0.044,0.074
DE,2,OFFENBACH,8.77,50.1,86/05/08,0.016,0.002,0.003
DE,2,OFFENBACH,8.77,50.1,86/05/09,0.009,0.001,0
DE,2,OFFENBACH,8.77,50.1,86/05/10,0.007,0.0007,0.0015
DE,2,OFFENBACH,8.77,50.1,86/05/11,0.006,0.0007,0.0015
DE,2,OFFENBACH,8.77,50.1,86/05/12,0.009,0.0012,0.0024
DE,2,OFFENBACH,8.77,50.1,86/05/14,0.005,0.0008,0.0018
DE,2,OFFENBACH,8.77,50.1,86/05/19,0.004,0.001,0.0029
DE,2,OFFENBACH,8.77,50.1,86/05/29,0.002,0.001,0.0022
DE,2,ROTTENBURG,8.94,48.46,86/04/30,0.62,0,0.2
DE,2,ROTTENBURG,8.94,48.46,86/05/01,4.787,0,2.94
DE,2,ROTTENBURG,8.94,48.46,86/05/02,3.286,0,2.434
DE,2,ROTTENBURG,8.94,48.46,86/05/03,1.464,0,0.827
DE,2,ROTTENBURG,8.94,48.46,86/05/04,0.242,0,0.139
DE,2,ROTTENBURG,8.94,48.46,86/05/05,0.201,0,0.149
DE,2,ROTTENBURG,8.94,48.46,86/05/06,0.364,0,0.24
DE,2,STARNBERG,11.34,48,86/04/30,5.664,0,2.332
DE,2,STARNBERG,11.34,48,86/05/01,7.52,0,4.5
DE,2,STARNBERG,11.34,48,86/05/02,2.7,0,1.76
DE,2,STARNBERG,11.34,48,86/05/03,2.83,0,1.6
DE,2,STARNBERG,11.34,48,86/05/04,0.63,0,0.42
DE,2,STARNBERG,11.34,48,86/05/06,0.97,0,0.62
DE,2,STARNBERG,11.34,48,86/05/07,0.31,0,0.26
DE,2,WALDHOF,10.75,52.81,86/05/02,0.16,0,0.05
DE,2,WALDHOF,10.75,52.81,86/05/03,0.22,0,0.03
DE,2,WALDHOF,10.75,52.81,86/05/04,0.58,0,0.34
DE,2,WALDHOF,10.75,52.81,86/05/05,0.55,0,0.28
DE,2,WALDHOF,10.75,52.81,86/05/06,0.76,0,0.2
DE,2,WALDHOF,10.75,52.81,86/05/07,0.3,0,0.13
F,3,CADARACHE,5.75,43.71,86/05/01,0.3,0.0008,0.02
F,3,CADARACHE,5.75,43.71,86/05/02,6.299999,0.18,0.41
F,3,CADARACHE,5.75,43.71,86/05/03,5.9,0.4,0.94
F,3,CADARACHE,5.75,43.71,86/05/04,6.599999,0.5,1.099999
F,3,CADARACHE,5.75,43.71,86/05/05,1.4,0.1,0.31
F,3,CADARACHE,5.75,43.71,86/05/06,0.5,0.06,0.1
F,3,CADARACHE,5.75,43.71,86/05/07,0.025,0.0073,0.014
F,3,CADARACHE,5.75,43.71,86/05/09,0.15,0.001,0.002
F,3,CADARACHE,5.75,43.71,86/05/10,0.06,0,0
F,3,CADARACHE,5.75,43.71,86/05/11,0.06,0,0
F,3,CHINON,0.25,47.15,86/05/02,1.5,0.36,0.65
F,3,CHINON,0.25,47.15,86/05/03,0.24,0.07,0.16
F,3,CHINON,0.25,47.15,86/05/04,0.0067,0,0
F,3,CHINON,0.25,47.15,86/05/05,0.0043,0,0
F,3,CHINON,0.25,47.15,86/05/06,0.0038,0,0
F,3,CHINON,0.25,47.15,86/05/07,0.015,0.0029,0.005
F,3,CHINON,0.25,47.15,86/05/08,0.014,0.0033,0.0085
F,3,CHINON,0.25,47.15,86/05/09,0.011,0.0024,0.0038
F,3,CHINON,0.25,47.15,86/05/10,0.0033,0,0
F,3,CHINON,0.25,47.15,86/05/11,0.0021,0,0
F,3,CHINON,0.25,47.15,86/05/12,0.0049,0,0
F,3,CHINON,0.25,47.15,86/05/13,0.004,0,0
F,3,CHINON,0.25,47.15,86/05/14,0.0062,0,0
F,3,CHINON,0.25,47.15,86/05/15,0.0052,0,0
F,3,CHINON,0.25,47.15,86/05/16,0.0044,0,0
F,3,CHINON,0.25,47.15,86/05/17,0.0038,0,0
F,3,CHINON,0.25,47.15,86/05/18,0.0036,0,0
F,3,CHINON,0.25,47.15,86/05/19,0.0058,0,0
F,3,CHOOZ,4.81,50.1,86/05/02,5.5,1.599999,3
F,3,CHOOZ,4.81,50.1,86/05/03,1.9,0.63,1.099999
F,3,CHOOZ,4.81,50.1,86/05/04,0.72,0.16,0.31
F,3,CHOOZ,4.81,50.1,86/05/05,0.13,0.03,0.07
F,3,CHOOZ,4.81,50.1,86/05/06,0.07,0.03,0.06
F,3,CHOOZ,4.81,50.1,86/05/07,0.057,0.013,0.022
F,3,CHOOZ,4.81,50.1,86/05/08,0.0058,0.0052,0.002
F,3,CHOOZ,4.81,50.1,86/05/09,0.005,0,0.0042
F,3,CHOOZ,4.81,50.1,86/05/10,0.0055,0,0.004
F,3,CHOOZ,4.81,50.1,86/05/11,0.0055,0,0.004
F,3,CHOOZ,4.81,50.1,86/05/12,0.01,0,0.004
F,3,CHOOZ,4.81,50.1,86/05/13,0.0055,0,0.001
F,3,CHOOZ,4.81,50.1,86/05/15,0.005,0,0.004
F,3,CRUAS,4.8,44.63,86/05/02,0.36,0.07,0.095
F,3,CRUAS,4.8,44.63,86/05/03,0.95,0.23,0.3
F,3,CRUAS,4.8,44.63,86/05/04,0.6,0.18,0.3
F,3,CRUAS,4.8,44.63,86/05/05,0.22,0.07,0.11
F,3,CRUAS,4.8,44.63,86/05/06,0.11,0.065,0
F,3,CRUAS,4.8,44.63,86/05/07,0.016,0.0087,0
F,3,CRUAS,4.8,44.63,86/05/08,0.0058,0,0
F,3,CRUAS,4.8,44.63,86/05/09,0.012,0,0
F,3,CRUAS,4.8,44.63,86/05/10,0.0065,0.0018,0
F,3,CRUAS,4.8,44.63,86/05/11,0.003,0,0
F,3,CRUAS,4.8,44.63,86/05/12,0.0018,0,0
F,3,CRUAS,4.8,44.63,86/05/13,0.0019,0,0.001
F,3,CRUAS,4.8,44.63,86/05/14,0.007,0,0.0014
F,3,CRUAS,4.8,44.63,86/05/15,0.0046,0,0.0011
F,3,CRUAS,4.8,44.63,86/05/16,0.0028,0,0
F,3,CRUAS,4.8,44.63,86/05/17,0.0017,0,0.001
F,3,CRUAS,4.8,44.63,86/05/18,0.0016,0,0.001
F,3,CRUAS,4.8,44.63,86/05/19,0.0015,0,0
F,3,CRUAS,4.8,44.63,86/05/20,0.0013,0,0
F,3,DAMPIERRE EN BURLY,2.51,47.71,86/05/01,0.0011,,
F,3,DAMPIERRE EN BURLY,2.51,47.71,86/05/02,1.2,,
F,3,DAMPIERRE EN BURLY,2.51,47.71,86/05/03,0.29,,
F,3,DAMPIERRE EN BURLY,2.51,47.71,86/05/04,0.01,,
F,3,DAMPIERRE EN BURLY,2.51,47.71,86/05/05,0.017,,
F,3,DAMPIERRE EN BURLY,2.51,47.71,86/05/06,0.0044,,
F,3,DAMPIERRE EN BURLY,2.51,47.71,86/05/07,0.0047,,
F,3,DAMPIERRE EN BURLY,2.51,47.71,86/05/08,0.0052,,
F,3,DAMPIERRE EN BURLY,2.51,47.71,86/05/09,0.0065,,
F,3,DAMPIERRE EN BURLY,2.51,47.71,86/05/10,0.0021,,
F,3,DAMPIERRE EN BURLY,2.51,47.71,86/05/11,0.0015,,
F,3,DAMPIERRE EN BURLY,2.51,47.71,86/05/12,0.0021,,
F,3,DAMPIERRE EN BURLY,2.51,47.71,86/05/14,0.0024,,
F,3,DAMPIERRE EN BURLY,2.51,47.71,86/05/15,0.0023,,
F,3,FESSENHEIM,7.56,47.91,86/05/02,2.9,0.76,1.5
F,3,FESSENHEIM,7.56,47.91,86/05/03,2.099999,0.76,1.299999
F,3,FESSENHEIM,7.56,47.91,86/05/04,0.7,0.18,0.3
F,3,FESSENHEIM,7.56,47.91,86/05/07,0.12,0.03,0.075
F,3,FESSENHEIM,7.56,47.91,86/05/08,0.012,0.002,0.0044
F,3,FESSENHEIM,7.56,47.91,86/05/09,0.013,0.0021,0.0038
F,3,FESSENHEIM,7.56,47.91,86/05/10,0.011,0.00145,0.0039
F,3,FESSENHEIM,7.56,47.91,86/05/11,0.0025,0.00135,0.0015
F,3,FESSENHEIM,7.56,47.91,86/05/12,0.0027,0.002,0.0014
F,3,FESSENHEIM,7.56,47.91,86/05/13,0.0032,0.00115,0.0016
F,3,FLAMANVILLE,-1.9,49.55,86/05/02,0.25,0,0
F,3,FLAMANVILLE,-1.9,49.55,86/05/03,0.75,0,0
