,employee_id,department,region,education,gender,recruitment_channel,no_of_trainings,age,previous_year_rating,length_of_service,awards_won,avg_training_score,is_promoted
107,16027,Operations,region_26,Bachelor's,f,other,1,37,3.0,11,0,57.0,0
108,46020,Analytics,region_7,Bachelor's,m,sourcing,2,39,3.0,4,0,83.0,0
109,28509,Sales & Marketing,region_7,Bachelor's,m,other,1,40,5.0,8,0,54.0,0
110,33587,Sales & Marketing,region_28,Master's & above,m,sourcing,1,42,5.0,4,0,50.0,0
111,21387,Operations,region_13,Bachelor's,m,other,1,35,4.0,6,0,57.0,1
112,55927,Operations,region_13,Master's & above,f,sourcing,1,41,4.0,6,0,62.0,0
113,60763,Procurement,region_2,Bachelor's,f,other,1,23,3.0,2,0,73.0,0
114,53167,Sales & Marketing,region_16,Bachelor's,m,sourcing,2,31,3.0,4,0,50.0,0
115,32672,Analytics,region_22,Master's & above,m,other,1,42,2.0,19,0,79.0,0
116,48785,Sales & Marketing,region_22,Bachelor's,m,other,3,29,4.0,2,0,49.0,0
117,51444,HR,region_13,Bachelor's,f,other,1,30,,1,0,54.0,0
118,75778,Operations,region_2,Bachelor's,m,sourcing,1,41,4.0,6,0,63.0,0
119,14141,Sales & Marketing,region_7,Bachelor's,f,other,1,40,3.0,2,0,90.0,1
120,17894,Sales & Marketing,region_2,Bachelor's,m,referred,1,34,5.0,5,0,49.0,0
121,54380,Sales & Marketing,region_4,Bachelor's,f,other,1,31,4.0,2,0,46.0,0
122,51892,Technology,region_2,Bachelor's,m,other,1,27,5.0,2,0,86.0,1
123,3625,Procurement,region_21,Bachelor's,m,sourcing,4,30,3.0,2,0,72.0,0
124,38771,Procurement,region_23,Bachelor's,f,other,1,27,4.0,4,0,72.0,1
125,18959,Technology,region_15,Bachelor's,m,other,4,36,4.0,7,0,82.0,0
127,26097,Sales & Marketing,region_25,Master's & above,m,other,1,34,5.0,7,0,51.0,1
128,38052,Procurement,region_34,Master's & above,m,sourcing,1,37,5.0,3,1,92.0,1
129,41746,Operations,region_22,Bachelor's,f,sourcing,1,27,,1,0,58.0,0
130,72744,Procurement,region_2,Master's & above,m,sourcing,2,47,3.0,5,0,71.0,0
131,5461,Analytics,region_8,Bachelor's,m,other,1,28,,1,0,83.0,0
132,15227,Procurement,region_27,Master's & above,f,other,1,40,5.0,5,0,68.0,0
134,42068,Operations,region_1,Master's & above,m,other,1,38,5.0,9,0,,0
135,54825,Sales & Marketing,region_25,Bachelor's,m,other,1,30,3.0,2,0,47.0,0
136,77709,Sales & Marketing,region_11,Bachelor's,f,sourcing,1,28,5.0,3,0,46.0,0
137,43712,Procurement,region_22,Bachelor's,m,sourcing,2,28,5.0,4,0,67.0,0
138,43712,Procurement,region_22,Bachelor's,m,sourcing,2,28,5.0,4,0,67.0,0
139,74783,Operations,region_29,Bachelor's,m,sourcing,1,35,4.0,7,0,58.0,0
140,74783,Operations,region_29,Bachelor's,m,sourcing,1,35,4.0,7,0,58.0,0
141,19318,Analytics,region_22,Bachelor's,m,other,1,32,3.0,8,0,89.0,1
142,12096,Sales & Marketing,region_26,Master's & above,m,sourcing,1,36,5.0,8,0,50.0,0
143,5102,Operations,region_7,Bachelor's,m,sourcing,1,24,,1,0,56.0,0
144,5102,Operations,region_7,Bachelor's,m,sourcing,1,24,,1,0,56.0,0
145,29521,Technology,region_15,Bachelor's,m,other,1,27,3.0,4,0,78.0,0
146,36371,Finance,region_28,Master's & above,m,other,2,34,3.0,7,0,56.0,0
147,51164,Technology,region_14,Bachelor's,f,other,1,31,4.0,4,1,78.0,0
148,17812,Technology,region_27,Bachelor's,f,sourcing,1,30,4.0,2,0,77.0,0
149,7606,Technology,region_29,Bachelor's,f,other,2,30,3.0,7,1,76.0,0
150,7606,Technology,region_29,Bachelor's,f,other,2,30,3.0,7,1,76.0,0
151,50593,Finance,region_23,Bachelor's,m,sourcing,1,31,,1,0,56.0,0
152,73735,Analytics,region_25,Bachelor's,m,other,1,30,5.0,3,0,84.0,0
153,73735,Analytics,region_25,Bachelor's,m,other,1,30,5.0,3,0,84.0,0
154,29313,Finance,region_22,Bachelor's,m,sourcing,1,28,3.0,2,0,57.0,0
155,40262,Technology,region_2,Bachelor's,m,other,2,28,3.0,5,0,81.0,0
156,36904,Sales & Marketing,region_15,Bachelor's,m,other,1,29,3.0,2,0,51.0,0
157,62552,Sales & Marketing,region_22,Master's & above,m,sourcing,1,46,3.0,11,0,51.0,0
158,63285,Technology,region_29,Bachelor's,m,sourcing,1,31,5.0,4,0,80.0,0
159,74203,Procurement,region_5,Bachelor's,m,sourcing,1,28,1.0,4,0,72.0,0
160,75344,Sales & Marketing,region_4,Master's & above,m,other,1,31,4.0,6,0,50.0,0
161,74018,HR,region_7,Master's & above,f,other,1,37,3.0,9,0,48.0,0
162,34985,Technology,region_5,Bachelor's,f,other,2,34,5.0,8,0,88.0,1
163,35930,Procurement,region_2,Bachelor's,m,sourcing,1,25,5.0,3,0,70.0,1
164,6708,Operations,region_22,Master's & above,m,sourcing,1,40,4.0,4,0,57.0,0
165,6708,Operations,region_22,Master's & above,m,sourcing,1,40,4.0,4,0,57.0,0
166,5515,Operations,region_13,Master's & above,m,other,1,43,3.0,7,0,56.0,1
167,53373,Operations,region_13,Bachelor's,m,other,1,36,1.0,5,0,56.0,0
168,69316,Legal,region_29,Bachelor's,m,sourcing,1,29,3.0,3,0,63.0,0
169,41009,Finance,region_13,Bachelor's,m,sourcing,2,35,3.0,2,0,56.0,0
170,50622,Analytics,region_25,Master's & above,m,other,1,34,5.0,2,0,84.0,0
172,45157,HR,region_4,Bachelor's,m,other,1,27,,1,0,50.0,0
173,23523,Technology,region_26,Bachelor's,m,sourcing,1,29,3.0,5,0,75.0,0
174,74349,Sales & Marketing,region_5,Bachelor's,m,sourcing,1,34,1.0,4,0,48.0,0
175,70543,Procurement,region_2,Master's & above,m,sourcing,1,37,5.0,7,0,70.0,0
177,34405,Procurement,region_2,Master's & above,f,other,1,33,5.0,4,0,67.0,0
178,4134,Sales & Marketing,region_16,Bachelor's,f,other,1,39,1.0,8,0,,0
179,23599,Technology,region_23,Master's & above,m,other,1,34,4.0,7,0,82.0,0
180,23599,Technology,region_23,Master's & above,m,other,1,34,4.0,7,0,82.0,0
181,942,Technology,region_22,Bachelor's,m,other,2,32,4.0,6,0,84.0,0
182,5281,Sales & Marketing,region_7,Master's & above,m,other,1,34,4.0,6,0,53.0,0
183,197,Finance,region_12,Bachelor's,m,other,1,29,5.0,6,0,,0
184,37574,Sales & Marketing,region_2,Bachelor's,m,sourcing,2,28,1.0,2,0,50.0,0
187,40565,Technology,region_2,Bachelor's,f,other,2,40,3.0,3,0,86.0,0
188,17193,Sales & Marketing,region_2,Bachelor's,f,other,2,27,2.0,4,0,54.0,0
189,76550,Procurement,region_22,Bachelor's,f,other,3,26,3.0,3,0,70.0,0
190,53841,Operations,region_2,Bachelor's,m,sourcing,1,43,2.0,12,0,57.0,0
191,28314,Finance,region_26,Bachelor's,m,other,1,23,,1,0,,0
192,30196,Analytics,region_25,Bachelor's,m,sourcing,1,29,5.0,6,0,84.0,0
193,29757,Sales & Marketing,region_14,Bachelor's,m,sourcing,1,43,3.0,15,0,51.0,0
194,6073,Sales & Marketing,region_2,Bachelor's,m,sourcing,3,27,4.0,4,0,49.0,0
195,9863,Procurement,region_27,Bachelor's,m,sourcing,1,26,4.0,4,0,70.0,0
198,34041,Operations,region_7,Bachelor's,m,other,1,40,4.0,11,0,58.0,0
199,21356,Operations,region_15,Bachelor's,f,other,2,39,5.0,12,0,55.0,0
200,29540,Operations,region_2,Bachelor's,f,other,2,30,3.0,6,0,57.0,0
201,51669,Technology,region_2,Master's & above,m,other,1,47,4.0,4,0,77.0,0
202,33825,Sales & Marketing,region_17,Bachelor's,m,other,1,34,4.0,7,0,48.0,1
203,6254,Operations,region_2,,f,other,1,33,4.0,9,0,64.0,0
204,11645,Sales & Marketing,region_23,Master's & above,m,other,1,41,5.0,7,0,51.0,0
205,3231,Technology,region_7,Bachelor's,m,other,1,29,1.0,4,0,80.0,0
206,7030,Analytics,region_31,Bachelor's,f,other,1,32,3.0,4,0,86.0,0
207,54198,Procurement,region_7,Master's & above,f,other,1,47,5.0,9,0,68.0,0
208,62293,Operations,region_27,Bachelor's,m,other,1,35,4.0,3,0,65.0,0
209,25312,Technology,region_22,Bachelor's,m,other,1,27,4.0,2,0,75.0,0
210,75610,Analytics,region_32,Bachelor's,m,other,1,29,1.0,3,0,81.0,0
211,16518,Sales & Marketing,region_20,Bachelor's,m,sourcing,2,36,3.0,9,0,49.0,0
212,42747,Sales & Marketing,region_15,Bachelor's,m,other,2,35,1.0,8,0,39.0,0
213,67980,Procurement,region_2,Bachelor's,f,sourcing,2,34,3.0,2,0,70.0,0
214,53630,Sales & Marketing,region_23,Master's & above,f,sourcing,1,34,4.0,5,1,94.0,1
215,72423,Operations,region_2,Master's & above,m,sourcing,1,39,3.0,2,0,60.0,0
216,73022,Sales & Marketing,region_25,Bachelor's,m,other,1,26,5.0,2,0,51.0,0
217,63976,Operations,region_31,Bachelor's,f,sourcing,1,30,5.0,4,0,56.0,0
218,60761,Operations,region_16,,f,other,1,31,4.0,2,0,62.0,0
220,14912,Sales & Marketing,region_1,Bachelor's,m,other,1,38,3.0,4,0,49.0,0
221,22725,Technology,region_26,Bachelor's,m,other,1,40,1.0,3,0,78.0,0
222,18981,Legal,region_2,Master's & above,m,sourcing,1,50,5.0,6,1,58.0,0
223,50845,Procurement,region_19,Master's & above,m,other,1,44,3.0,12,0,70.0,0
224,50845,Procurement,region_19,Master's & above,m,other,1,44,3.0,12,0,70.0,0
225,11800,Procurement,region_2,Below Secondary,f,other,1,23,1.0,2,0,69.0,0
226,16351,Sales & Marketing,region_7,Master's & above,f,sourcing,1,36,1.0,2,0,53.0,0
228,73200,Operations,region_28,Bachelor's,m,sourcing,1,34,5.0,4,0,58.0,0
229,17833,Analytics,region_4,Bachelor's,m,sourcing,1,28,,1,0,85.0,0
230,58338,Analytics,region_1,Bachelor's,m,other,2,30,5.0,6,0,81.0,0
231,40187,Procurement,region_12,Bachelor's,m,sourcing,1,35,1.0,8,0,67.0,0
232,70193,Analytics,region_6,Bachelor's,m,sourcing,1,33,4.0,8,0,86.0,0
233,27188,Analytics,region_13,Master's & above,m,other,1,30,3.0,4,0,80.0,0
234,24291,Analytics,region_26,Bachelor's,m,other,2,27,5.0,3,0,85.0,0
236,52231,Operations,region_2,Bachelor's,m,sourcing,1,43,3.0,3,0,58.0,0
237,34241,Analytics,region_22,Bachelor's,m,other,2,28,3.0,5,0,86.0,0
238,76661,Procurement,region_17,Bachelor's,m,other,1,31,5.0,3,0,68.0,0
239,50595,Operations,region_2,Bachelor's,f,other,1,43,4.0,12,0,58.0,0
240,67673,Operations,region_4,Bachelor's,f,other,1,35,5.0,9,0,60.0,0
241,10547,Sales & Marketing,region_5,Bachelor's,m,other,2,35,3.0,9,0,49.0,0
242,73405,Operations,region_2,Master's & above,m,other,1,50,3.0,8,0,59.0,0
243,73114,HR,region_17,Bachelor's,f,other,1,26,4.0,3,0,50.0,0
244,22572,Sales & Marketing,region_27,Bachelor's,m,sourcing,1,32,3.0,5,0,52.0,0
245,62923,Operations,region_13,Master's & above,f,other,1,38,5.0,2,1,93.0,1
246,57235,Sales & Marketing,region_26,,m,other,1,22,4.0,2,0,51.0,0
247,22300,HR,region_20,Bachelor's,m,other,1,28,,1,0,52.0,0
249,57298,Analytics,region_2,Bachelor's,m,sourcing,2,54,3.0,9,0,86.0,0
250,25629,Sales & Marketing,region_11,Bachelor's,m,sourcing,1,36,3.0,8,0,51.0,0
251,71339,Technology,region_6,Bachelor's,m,other,1,35,3.0,8,0,78.0,0
252,54714,Analytics,region_29,Bachelor's,m,other,1,39,3.0,4,0,85.0,0
253,7390,Operations,region_12,Bachelor's,f,sourcing,1,31,5.0,4,0,63.0,0
254,9563,Operations,region_31,Bachelor's,m,other,2,38,3.0,7,1,60.0,0
255,39107,Sales & Marketing,region_22,Bachelor's,m,sourcing,1,28,1.0,2,0,48.0,0
256,19445,Sales & Marketing,region_7,Bachelor's,m,sourcing,3,26,2.0,3,0,52.0,0
257,42636,Sales & Marketing,region_26,Bachelor's,m,sourcing,1,29,,1,0,54.0,0
258,32557,Analytics,region_20,Bachelor's,m,sourcing,1,30,3.0,4,0,84.0,0
259,32557,Analytics,region_20,Bachelor's,m,sourcing,1,30,3.0,4,0,84.0,0
260,43396,Operations,region_22,Bachelor's,m,sourcing,2,37,2.0,4,0,57.0,1
261,24414,R&D,region_2,,m,other,1,25,,1,0,76.0,0
262,63237,Technology,region_22,Bachelor's,m,referred,1,26,4.0,2,0,82.0,0
263,32838,Technology,region_7,Bachelor's,m,other,1,31,4.0,4,0,78.0,0
264,23003,Technology,region_14,Bachelor's,f,other,1,38,5.0,7,0,82.0,0
265,45198,Sales & Marketing,region_13,Bachelor's,m,other,1,39,4.0,9,0,49.0,0
267,60176,Procurement,region_15,Master's & above,f,other,1,34,5.0,8,0,67.0,0
268,67652,Procurement,region_23,Master's & above,f,other,1,33,3.0,5,0,72.0,0
269,15476,Technology,region_2,Bachelor's,f,other,1,29,5.0,3,0,78.0,0
270,55811,Operations,region_2,Bachelor's,m,sourcing,1,28,4.0,2,0,,0
271,15737,Finance,region_22,Bachelor's,m,sourcing,1,24,,1,0,56.0,0
272,10058,Analytics,region_22,Bachelor's,m,other,2,26,4.0,2,0,87.0,0
273,73435,Legal,region_22,Bachelor's,m,sourcing,1,34,5.0,4,0,64.0,0
274,51255,Sales & Marketing,region_27,Bachelor's,m,sourcing,1,35,3.0,7,0,46.0,0
275,51255,Sales & Marketing,region_27,Bachelor's,m,sourcing,1,35,3.0,7,0,46.0,0
276,70060,Technology,region_13,Master's & above,m,other,1,43,3.0,14,0,79.0,0
277,51473,Sales & Marketing,region_15,Bachelor's,m,other,1,34,1.0,8,0,39.0,0
278,71904,Technology,region_7,Master's & above,f,other,2,38,3.0,10,0,88.0,0
279,76080,Operations,region_7,Bachelor's,f,other,1,34,1.0,5,0,54.0,0
280,33357,Operations,region_22,Bachelor's,m,sourcing,1,41,4.0,4,0,63.0,0
285,28687,Operations,region_2,Master's & above,m,other,3,38,3.0,11,0,57.0,0
286,34312,Procurement,region_2,Master's & above,f,other,2,54,4.0,23,0,66.0,0
287,11438,Sales & Marketing,region_13,Master's & above,f,sourcing,2,34,2.0,8,0,49.0,0
288,11794,R&D,region_2,Bachelor's,m,other,2,26,5.0,3,0,87.0,0
289,48756,Operations,region_7,Bachelor's,f,sourcing,1,35,5.0,3,0,59.0,0
290,35873,Legal,region_2,Below Secondary,m,other,1,28,,1,0,62.0,0
291,13970,Operations,region_33,Master's & above,m,other,1,36,3.0,4,0,60.0,0
292,49868,Technology,region_5,Bachelor's,m,other,1,45,3.0,15,0,87.0,0
294,44536,Sales & Marketing,region_27,Bachelor's,f,other,1,26,2.0,4,0,47.0,0
295,55550,Analytics,region_27,,m,sourcing,1,31,3.0,4,0,85.0,0
296,27989,Analytics,region_34,Bachelor's,m,sourcing,1,32,3.0,7,0,87.0,0
297,12598,Analytics,region_6,Bachelor's,m,sourcing,1,29,4.0,4,0,78.0,0
298,32877,Sales & Marketing,region_2,Bachelor's,f,other,1,40,3.0,12,0,50.0,0
300,1829,Analytics,region_28,Bachelor's,m,other,2,31,5.0,7,0,87.0,0
301,2177,Finance,region_16,Bachelor's,m,other,1,32,5.0,6,0,58.0,0
302,51771,Operations,region_17,Bachelor's,m,other,1,42,5.0,11,0,67.0,0
303,26026,Procurement,region_15,Bachelor's,f,sourcing,1,30,5.0,3,0,65.0,0
304,64977,Procurement,region_16,Bachelor's,f,other,1,24,3.0,2,0,70.0,0
305,44585,Sales & Marketing,region_30,Bachelor's,m,sourcing,1,35,3.0,7,0,56.0,0
306,43562,Technology,region_5,Bachelor's,f,sourcing,2,32,1.0,3,0,80.0,0
307,56287,HR,region_2,Bachelor's,f,sourcing,1,22,3.0,2,0,47.0,0
308,19100,Sales & Marketing,region_2,Bachelor's,m,sourcing,2,44,5.0,14,0,48.0,0
309,58203,Operations,region_16,Bachelor's,m,other,2,39,3.0,9,0,58.0,0
310,12504,Technology,region_7,Bachelor's,f,other,1,46,4.0,17,0,85.0,0
311,49126,Technology,region_15,Bachelor's,m,other,1,29,2.0,5,0,77.0,0
312,66469,Finance,region_7,Bachelor's,m,other,1,26,1.0,3,0,59.0,0
313,53350,Operations,region_23,Bachelor's,m,other,1,35,4.0,5,0,,0
314,22031,Procurement,region_2,Bachelor's,f,other,1,29,4.0,2,0,95.0,1
315,36185,Technology,region_13,Bachelor's,m,sourcing,1,30,2.0,9,0,79.0,0
316,58415,Sales & Marketing,region_7,Bachelor's,m,other,1,45,4.0,5,0,50.0,0
317,71763,Sales & Marketing,region_15,Bachelor's,f,other,1,30,1.0,6,0,47.0,0
318,71763,Sales & Marketing,region_15,Bachelor's,f,other,1,30,1.0,6,0,47.0,0
319,62742,Finance,region_32,Bachelor's,m,sourcing,1,28,2.0,4,0,59.0,0
320,33619,Technology,region_2,Master's & above,m,sourcing,1,46,5.0,10,0,76.0,0
321,41212,Procurement,region_7,Bachelor's,m,sourcing,1,27,2.0,2,0,69.0,0
323,59131,Analytics,region_19,Bachelor's,m,sourcing,2,32,5.0,3,0,86.0,0
324,59131,Analytics,region_19,Bachelor's,m,sourcing,2,32,5.0,3,0,86.0,0
325,12559,Operations,region_22,Bachelor's,f,other,1,35,5.0,10,0,63.0,0
326,30433,Procurement,region_27,Bachelor's,m,other,1,36,4.0,3,0,66.0,0
327,13150,Procurement,region_2,Master's & above,f,other,1,58,1.0,13,0,70.0,0
328,9616,Finance,region_31,Bachelor's,m,other,1,29,4.0,4,0,57.0,0
329,26563,Procurement,region_2,Bachelor's,f,referred,1,33,3.0,3,0,67.0,0
330,26563,Procurement,region_2,Bachelor's,f,referred,1,33,3.0,3,0,67.0,0
331,38331,Operations,region_16,Bachelor's,f,other,1,32,5.0,6,0,62.0,0
332,38331,Operations,region_16,Bachelor's,f,other,1,32,5.0,6,0,62.0,0
333,18651,Legal,region_22,Below Secondary,m,other,1,25,5.0,2,0,59.0,0
334,45004,Procurement,region_13,Bachelor's,m,other,4,41,2.0,9,0,68.0,0
335,11892,Procurement,region_12,Bachelor's,f,other,1,25,,1,0,69.0,0
336,16859,Analytics,region_2,Master's & above,m,other,1,50,1.0,7,1,79.0,0
337,26107,Sales & Marketing,region_26,Bachelor's,m,other,1,30,1.0,7,0,53.0,0
338,22511,Technology,region_24,Bachelor's,m,sourcing,1,28,,1,0,81.0,0
339,22865,Analytics,region_20,Master's & above,m,other,1,40,5.0,5,1,83.0,1
340,67467,Finance,region_2,Below Secondary,f,other,1,26,3.0,2,0,,0
341,2268,Technology,region_13,Bachelor's,m,other,1,35,5.0,8,0,81.0,0
342,2268,Technology,region_13,Bachelor's,m,other,1,35,5.0,8,0,81.0,0
344,27605,Operations,region_22,Master's & above,m,other,1,34,3.0,3,0,75.0,1
345,69349,Operations,region_8,Bachelor's,m,sourcing,1,25,3.0,2,0,57.0,0
346,45496,Sales & Marketing,region_2,,m,other,1,22,5.0,2,0,62.0,1
