,employee_id,department,region,education,gender,recruitment_channel,no_of_trainings,age,previous_year_rating,length_of_service,awards_won,avg_training_score,is_promoted
37673,36194,Finance,region_5,Bachelor's,m,sourcing,1,36,5.0,3,0,62.0,0
47037,74079,Sales & Marketing,region_22,Bachelor's,m,other,3,25,,1,0,41.0,0
9265,36842,Operations,region_15,Bachelor's,m,sourcing,1,28,5.0,2,1,72.0,1
34548,35811,Sales & Marketing,region_7,Bachelor's,m,sourcing,1,31,5.0,4,0,46.0,0
44251,32916,Procurement,region_2,Bachelor's,m,other,1,29,4.0,3,0,69.0,0
26285,30260,Technology,region_7,Master's & above,f,other,3,35,3.0,8,0,84.0,0
9824,53934,Technology,region_7,Master's & above,f,sourcing,1,31,4.0,6,0,82.0,0
52597,27617,Sales & Marketing,region_29,Bachelor's,m,other,1,28,4.0,3,0,53.0,0
49765,34198,Procurement,region_2,Master's & above,m,other,1,58,4.0,18,0,67.0,0
14377,2977,Analytics,region_15,Bachelor's,m,other,1,31,2.0,6,0,85.0,0
25136,35141,Analytics,region_20,Bachelor's,m,other,1,28,5.0,2,0,83.0,0
27970,350,Operations,region_2,Bachelor's,m,other,2,34,5.0,2,0,58.0,0
39639,40816,HR,region_29,Bachelor's,m,sourcing,1,29,5.0,3,0,,0
30972,26649,Sales & Marketing,region_15,Bachelor's,m,other,1,45,1.0,4,0,50.0,0
6795,51125,Analytics,region_32,Bachelor's,m,sourcing,2,29,5.0,4,0,90.0,0
37964,39161,Analytics,region_4,Master's & above,m,sourcing,1,37,5.0,6,0,82.0,0
23247,61936,Sales & Marketing,region_13,Bachelor's,m,sourcing,1,34,5.0,3,0,49.0,0
35652,13219,Sales & Marketing,region_2,Master's & above,m,other,1,57,5.0,13,0,51.0,0
50455,57572,Analytics,region_34,Bachelor's,m,other,1,30,1.0,2,0,80.0,0
53388,75090,Operations,region_13,Master's & above,m,sourcing,1,50,3.0,21,0,58.0,0
44381,22822,HR,region_2,Master's & above,m,referred,1,38,3.0,9,0,51.0,0
46254,120,Sales & Marketing,region_2,,m,sourcing,1,42,3.0,6,0,51.0,0
46422,315,HR,region_2,Bachelor's,m,other,1,49,3.0,6,1,62.0,1
49037,43496,Procurement,region_16,Bachelor's,m,other,1,29,4.0,3,0,72.0,0
5387,34317,Analytics,region_11,Bachelor's,m,other,1,48,3.0,14,0,85.0,0
48292,66920,Sales & Marketing,region_2,,m,other,1,42,2.0,11,0,52.0,0
50496,44272,HR,region_28,Master's & above,m,other,2,35,1.0,7,0,50.0,0
21617,1800,Operations,region_2,Bachelor's,m,other,1,45,5.0,15,0,59.0,0
7866,40716,Operations,region_23,Bachelor's,m,other,1,36,3.0,9,0,,0
51365,44328,Sales & Marketing,region_2,,m,sourcing,1,25,,1,0,50.0,0
34152,12630,Sales & Marketing,region_4,Bachelor's,m,sourcing,2,49,2.0,14,0,51.0,0
43043,20188,Analytics,region_2,Bachelor's,m,sourcing,3,40,5.0,4,0,85.0,0
18015,66278,Operations,region_26,Bachelor's,f,sourcing,2,36,5.0,3,0,62.0,0
10102,18497,HR,region_2,Master's & above,m,other,1,47,3.0,20,0,51.0,0
9968,74928,Technology,region_2,Master's & above,m,other,1,37,3.0,7,0,78.0,0
30943,58829,Sales & Marketing,region_27,Bachelor's,f,other,1,31,5.0,4,0,47.0,0
54558,9665,Operations,region_15,Bachelor's,m,other,2,38,5.0,12,0,53.0,0
42768,46897,HR,region_8,Bachelor's,m,other,2,29,4.0,7,0,49.0,0
7864,20867,Legal,region_2,Bachelor's,f,sourcing,1,35,3.0,6,0,64.0,0
10758,35175,Sales & Marketing,region_8,Master's & above,m,sourcing,1,34,5.0,8,0,51.0,0
9521,77871,Legal,region_22,Bachelor's,m,other,1,30,,1,0,60.0,0
29573,53036,R&D,region_2,Bachelor's,m,other,2,32,3.0,4,0,86.0,0
27617,62571,Technology,region_10,Bachelor's,m,other,1,30,3.0,3,0,78.0,0
3509,34582,Sales & Marketing,region_15,Bachelor's,f,other,1,34,3.0,3,0,49.0,0
2112,56652,Sales & Marketing,region_27,Bachelor's,m,sourcing,2,32,3.0,6,0,,0
25509,18962,HR,region_20,Bachelor's,f,sourcing,1,27,5.0,3,0,49.0,0
41039,24598,Sales & Marketing,region_2,,m,other,1,46,3.0,3,0,50.0,0
16976,40355,Sales & Marketing,region_2,Master's & above,m,other,1,59,3.0,29,0,48.0,0
18633,44596,Procurement,region_17,Bachelor's,m,other,1,26,,1,0,68.0,0
10032,12357,Technology,region_2,Master's & above,m,other,1,44,3.0,13,0,77.0,0
14701,5593,Sales & Marketing,region_22,Bachelor's,m,referred,1,28,2.0,3,0,46.0,0
43554,69191,Technology,region_27,Below Secondary,m,other,4,23,4.0,2,0,82.0,0
23445,25100,Analytics,region_2,Master's & above,m,sourcing,2,42,3.0,3,0,85.0,0
44926,18426,Technology,region_23,Bachelor's,m,other,1,28,1.0,2,0,80.0,0
14756,9615,HR,region_2,Bachelor's,m,other,1,35,4.0,9,0,48.0,0
10632,28564,Finance,region_27,Bachelor's,f,other,1,25,4.0,3,0,,0
13408,22153,Procurement,region_22,Bachelor's,m,sourcing,1,28,5.0,4,0,63.0,0
51712,10585,Sales & Marketing,region_2,Bachelor's,m,other,3,29,,1,0,49.0,0
52639,39005,Sales & Marketing,region_22,Bachelor's,m,other,3,35,3.0,6,0,50.0,0
31566,61992,Procurement,region_15,Bachelor's,m,other,1,40,5.0,9,0,68.0,0
41113,17412,Operations,region_7,Bachelor's,f,sourcing,1,30,4.0,6,0,98.0,1
3014,55559,HR,region_28,Bachelor's,m,sourcing,1,31,5.0,3,0,52.0,0
15463,34571,Sales & Marketing,region_7,Bachelor's,m,other,2,35,4.0,5,0,47.0,0
47395,55984,Operations,region_2,Master's & above,m,sourcing,1,56,2.0,5,0,55.0,0
6392,37940,Finance,region_20,Bachelor's,m,sourcing,1,35,4.0,7,0,57.0,0
25618,31660,HR,region_2,Bachelor's,m,other,1,38,4.0,8,0,50.0,0
4403,6581,Sales & Marketing,region_26,Bachelor's,f,other,1,30,3.0,3,0,51.0,0
15862,2661,R&D,region_22,Bachelor's,m,other,2,30,3.0,2,0,86.0,0
7062,69051,Procurement,region_22,Bachelor's,m,sourcing,1,31,4.0,7,0,72.0,0
47351,53075,Sales & Marketing,region_2,Master's & above,m,sourcing,1,36,5.0,7,0,46.0,0
20113,21769,Operations,region_13,Bachelor's,m,other,1,36,5.0,2,0,56.0,0
16667,59123,Sales & Marketing,region_11,Bachelor's,m,other,1,36,4.0,4,0,51.0,0
40395,72265,Operations,region_22,Bachelor's,m,sourcing,1,30,4.0,4,0,56.0,0
43768,45244,Finance,region_22,Bachelor's,m,sourcing,1,26,,1,0,59.0,0
6932,57020,Finance,region_22,Below Secondary,f,sourcing,2,25,5.0,2,0,66.0,0
23581,52347,Sales & Marketing,region_22,Master's & above,f,other,1,35,2.0,6,0,47.0,0
1136,75077,Technology,region_2,Bachelor's,f,sourcing,2,57,3.0,2,0,82.0,0
49389,13174,Sales & Marketing,region_30,Bachelor's,m,other,1,37,1.0,8,0,48.0,0
34085,4647,Operations,region_15,Bachelor's,m,sourcing,1,30,5.0,4,0,62.0,0
20102,55344,Operations,region_22,Bachelor's,f,other,1,30,5.0,4,0,62.0,0
7046,70020,Sales & Marketing,region_2,Master's & above,m,sourcing,1,58,2.0,16,0,51.0,0
42170,30718,Analytics,region_28,Bachelor's,m,sourcing,1,31,4.0,8,0,86.0,0
48799,62897,Sales & Marketing,region_20,Bachelor's,m,other,1,27,5.0,4,0,52.0,0
33398,67484,Operations,region_27,Bachelor's,f,sourcing,1,32,5.0,6,0,60.0,0
33849,77431,Operations,region_4,Bachelor's,f,other,1,37,1.0,7,0,62.0,0
8721,42462,Sales & Marketing,region_14,Bachelor's,m,sourcing,1,33,1.0,9,0,53.0,0
10708,62500,Sales & Marketing,region_20,Bachelor's,m,other,1,29,4.0,6,1,50.0,0
39367,10575,Operations,region_17,Bachelor's,m,sourcing,1,30,3.0,6,0,56.0,0
36117,29352,Sales & Marketing,region_7,Bachelor's,m,other,2,30,3.0,7,0,54.0,0
44763,10759,Finance,region_4,Master's & above,m,other,1,37,3.0,4,1,64.0,0
2482,34940,Sales & Marketing,region_28,Master's & above,m,other,1,45,3.0,7,0,46.0,0
4704,61885,Sales & Marketing,region_15,Bachelor's,m,sourcing,1,39,3.0,6,1,65.0,1
50401,20492,Procurement,region_22,Bachelor's,m,sourcing,3,31,1.0,6,0,71.0,0
18756,15794,Sales & Marketing,region_28,Bachelor's,m,other,1,28,4.0,5,0,52.0,0
8619,6489,Technology,region_22,Bachelor's,f,sourcing,1,41,3.0,2,1,75.0,0
5544,67574,HR,region_31,Bachelor's,m,sourcing,1,27,5.0,4,0,47.0,0
7798,69554,Procurement,region_5,Bachelor's,f,sourcing,1,32,2.0,4,0,69.0,0
9679,8694,Procurement,region_2,Below Secondary,m,other,1,21,4.0,2,0,69.0,0
45485,51194,Sales & Marketing,region_24,Master's & above,m,other,1,36,1.0,10,0,52.0,0
1551,51689,Sales & Marketing,region_30,Bachelor's,f,sourcing,1,33,,1,0,49.0,0
39801,30103,Analytics,region_31,Master's & above,m,other,1,33,2.0,6,0,85.0,0
40437,15973,Sales & Marketing,region_31,Bachelor's,m,other,1,29,2.0,6,0,53.0,0
33426,44203,Sales & Marketing,region_8,Bachelor's,m,sourcing,2,32,4.0,3,0,51.0,0
27511,20317,Operations,region_2,Bachelor's,f,other,1,30,2.0,8,0,62.0,0
39900,22062,Operations,region_15,Bachelor's,m,other,1,34,1.0,2,0,65.0,0
34142,69029,Sales & Marketing,region_2,Bachelor's,f,sourcing,1,43,2.0,4,0,48.0,0
15281,52993,Procurement,region_17,Master's & above,f,other,1,34,5.0,5,0,70.0,1
19238,1702,Operations,region_22,Bachelor's,m,other,1,28,3.0,2,0,56.0,0
22058,57982,Procurement,region_2,Below Secondary,f,other,1,22,3.0,2,0,67.0,0
37246,17482,Procurement,region_13,Bachelor's,f,other,1,29,3.0,2,0,69.0,1
25023,54732,Operations,region_22,Bachelor's,m,sourcing,1,33,3.0,7,0,59.0,0
24471,67941,Technology,region_7,Master's & above,m,other,1,49,3.0,6,0,83.0,0
1637,20098,Finance,region_7,Bachelor's,m,other,1,28,5.0,2,0,58.0,0
21108,59811,Sales & Marketing,region_14,Bachelor's,m,sourcing,1,29,1.0,3,0,49.0,0
14268,18746,Sales & Marketing,region_8,Bachelor's,m,other,1,26,1.0,4,0,49.0,0
3548,36395,Analytics,region_27,Bachelor's,m,sourcing,2,33,3.0,8,0,80.0,0
1893,6774,Sales & Marketing,region_13,Master's & above,m,sourcing,1,31,5.0,6,0,48.0,0
2420,1601,Procurement,region_2,Master's & above,f,other,2,48,3.0,11,0,69.0,0
49046,51199,Operations,region_13,Master's & above,m,other,1,39,1.0,5,0,56.0,0
35885,7163,Procurement,region_10,Master's & above,m,other,1,36,3.0,9,0,67.0,0
34770,23344,Sales & Marketing,region_2,Bachelor's,m,sourcing,1,27,3.0,4,0,52.0,0
32441,6304,Procurement,region_15,Bachelor's,m,sourcing,1,41,3.0,11,0,67.0,0
38570,662,Technology,region_4,Master's & above,m,sourcing,1,36,1.0,3,0,81.0,0
16154,32435,Sales & Marketing,region_2,Bachelor's,f,sourcing,1,32,4.0,3,0,51.0,0
2808,27895,Sales & Marketing,region_28,,m,other,1,27,2.0,2,0,52.0,0
22535,6108,Technology,region_26,Below Secondary,m,other,1,24,3.0,2,0,77.0,0
28,8219,Analytics,region_5,Bachelor's,m,other,1,29,5.0,3,0,80.0,0
22027,61452,Sales & Marketing,region_27,Bachelor's,f,other,1,28,3.0,6,0,47.0,0
19252,34125,Finance,region_22,Master's & above,m,sourcing,2,34,3.0,6,0,59.0,0
4324,56060,Finance,region_2,Bachelor's,m,other,1,32,1.0,4,0,65.0,1
2857,35084,Sales & Marketing,region_25,Bachelor's,m,sourcing,1,33,5.0,7,0,44.0,1
26092,30754,Operations,region_27,Bachelor's,f,other,1,36,3.0,10,0,63.0,0
37176,65832,Sales & Marketing,region_6,Bachelor's,m,other,1,33,3.0,6,0,50.0,0
43468,64003,Sales & Marketing,region_16,Bachelor's,m,other,1,49,1.0,6,0,47.0,0
43488,61849,Finance,region_13,Bachelor's,m,sourcing,1,30,5.0,6,0,56.0,0
52167,28853,Sales & Marketing,region_26,Bachelor's,f,sourcing,1,32,1.0,2,0,46.0,0
40964,32926,Operations,region_22,Bachelor's,m,sourcing,2,43,4.0,3,0,,0
14956,255,Technology,region_8,Master's & above,f,sourcing,1,30,3.0,6,0,78.0,0
30681,9360,Analytics,region_28,Bachelor's,m,sourcing,1,26,1.0,3,0,86.0,0
46783,62381,HR,region_15,Bachelor's,f,other,1,27,3.0,3,0,49.0,0
35710,55810,Sales & Marketing,region_22,Bachelor's,m,sourcing,1,36,4.0,7,0,47.0,0
45242,69801,R&D,region_32,Master's & above,m,sourcing,1,28,3.0,3,0,86.0,0
49452,28502,Sales & Marketing,region_2,Bachelor's,m,other,1,42,1.0,6,0,49.0,0
33040,70565,Operations,region_7,Master's & above,f,sourcing,1,36,4.0,4,0,57.0,0
4329,75323,Sales & Marketing,region_13,Bachelor's,f,other,1,30,5.0,3,0,53.0,0
10153,77385,Legal,region_22,Below Secondary,m,other,1,25,3.0,2,0,57.0,0
25735,25431,Finance,region_2,Below Secondary,m,other,1,24,3.0,2,0,58.0,0
37746,8233,Operations,region_23,Bachelor's,f,sourcing,1,33,3.0,4,0,56.0,0
9707,54371,Sales & Marketing,region_2,Master's & above,f,other,1,39,4.0,10,0,48.0,0
44162,60742,Analytics,region_6,Bachelor's,m,sourcing,1,33,3.0,2,0,88.0,0
8645,9764,Sales & Marketing,region_2,Bachelor's,f,other,2,34,3.0,9,0,50.0,0
53981,7128,Sales & Marketing,region_28,Master's & above,m,sourcing,1,32,5.0,8,0,50.0,0
33444,29075,Procurement,region_17,Bachelor's,f,other,1,27,3.0,3,0,71.0,0
26892,16926,Analytics,region_6,Bachelor's,m,other,1,33,5.0,4,0,83.0,0
39174,61219,Finance,region_32,Bachelor's,m,sourcing,1,34,2.0,4,0,60.0,1
9869,7239,Technology,region_23,Bachelor's,m,sourcing,1,26,3.0,2,0,81.0,1
24076,45327,Procurement,region_2,Below Secondary,m,sourcing,1,24,,1,0,68.0,0
49581,13834,Operations,region_26,Bachelor's,f,sourcing,1,36,3.0,10,0,72.0,1
18200,25205,R&D,region_29,Bachelor's,m,sourcing,1,30,,1,0,83.0,0
32546,39043,HR,region_2,,m,other,1,41,5.0,2,0,49.0,0
26835,72869,Finance,region_10,Bachelor's,m,other,1,30,,1,0,59.0,0
19834,26461,Operations,region_5,Bachelor's,m,sourcing,1,30,3.0,4,0,57.0,0
22788,42606,Operations,region_2,Master's & above,f,sourcing,1,36,4.0,3,0,,0
24822,4781,Technology,region_28,Master's & above,f,sourcing,1,35,3.0,9,0,78.0,0
4725,21225,Technology,region_22,Bachelor's,m,other,1,28,1.0,6,0,78.0,0
31920,45426,Procurement,region_16,Bachelor's,f,other,1,32,1.0,8,0,72.0,0
46082,12610,Analytics,region_13,Bachelor's,m,other,1,29,5.0,6,0,83.0,0
51711,73136,Operations,region_15,Master's & above,m,sourcing,1,37,5.0,3,0,63.0,1
39118,67003,Sales & Marketing,region_23,Bachelor's,m,sourcing,1,34,4.0,3,0,50.0,0
10861,59839,Operations,region_2,Bachelor's,m,sourcing,1,33,5.0,9,0,,0
37366,4503,HR,region_22,Below Secondary,f,sourcing,1,23,,1,0,48.0,0
23871,22240,Operations,region_13,Bachelor's,f,sourcing,1,40,2.0,8,0,60.0,0
10268,44876,HR,region_17,Bachelor's,f,sourcing,1,33,5.0,6,0,48.0,0
46726,12867,Operations,region_15,Bachelor's,f,other,1,38,3.0,10,0,63.0,0
35413,17666,Sales & Marketing,region_2,Bachelor's,m,sourcing,1,39,4.0,12,0,47.0,0
27125,77904,Sales & Marketing,region_22,Bachelor's,m,sourcing,4,25,4.0,3,0,48.0,0
46915,71598,Analytics,region_29,Bachelor's,m,other,1,31,2.0,4,0,86.0,0
52315,63106,Procurement,region_2,Bachelor's,m,sourcing,1,39,3.0,11,0,71.0,0
14201,16713,Sales & Marketing,region_19,Bachelor's,m,sourcing,1,29,,1,0,49.0,0
807,58616,Operations,region_20,Bachelor's,f,other,1,30,5.0,5,0,56.0,0
51463,37981,Analytics,region_27,Bachelor's,m,other,1,32,3.0,6,0,83.0,0
13779,53598,Sales & Marketing,region_4,Master's & above,m,other,1,43,2.0,17,0,49.0,0
11395,66594,Sales & Marketing,region_2,Master's & above,f,sourcing,1,43,5.0,3,0,50.0,0
50181,5422,Sales & Marketing,region_20,Bachelor's,m,other,1,32,4.0,5,0,46.0,0
9626,18475,Sales & Marketing,region_22,Bachelor's,f,sourcing,1,27,5.0,3,0,49.0,1
6120,15291,Analytics,region_21,Bachelor's,m,sourcing,1,27,4.0,5,0,80.0,0
14564,31834,Sales & Marketing,region_2,Bachelor's,m,other,1,51,5.0,12,0,51.0,0
349,66802,Technology,region_7,Below Secondary,f,other,2,24,4.0,3,0,78.0,0
53355,7130,Technology,region_2,Master's & above,m,other,1,50,5.0,7,0,81.0,0
46715,60976,Operations,region_26,,m,other,1,29,4.0,3,0,,0
40950,72233,Sales & Marketing,region_20,Bachelor's,m,other,1,37,5.0,8,0,47.0,0
46848,40088,Operations,region_2,Master's & above,m,other,1,34,2.0,9,0,62.0,0
5242,16420,Sales & Marketing,region_2,Bachelor's,m,sourcing,1,34,5.0,5,0,50.0,0
11564,38449,Operations,region_2,Bachelor's,m,other,1,35,3.0,9,0,,0
18650,16872,Operations,region_27,Master's & above,f,other,1,39,5.0,6,0,60.0,0
4277,27476,Technology,region_25,Bachelor's,m,other,3,29,3.0,7,0,77.0,0
39325,63564,Technology,region_7,Master's & above,f,sourcing,1,47,3.0,15,0,78.0,0
6055,70471,Technology,region_2,Bachelor's,m,referred,1,28,,1,0,82.0,0
26666,45115,Sales & Marketing,region_2,Bachelor's,m,other,1,31,3.0,4,0,52.0,1
11670,4361,Procurement,region_23,Bachelor's,m,sourcing,1,32,4.0,6,0,73.0,0
53528,74234,Operations,region_13,Bachelor's,m,sourcing,1,35,4.0,7,0,62.0,0
8295,26681,HR,region_31,Bachelor's,f,sourcing,1,37,1.0,8,0,51.0,0
37540,37740,Sales & Marketing,region_13,Master's & above,f,other,1,33,4.0,3,1,64.0,1
39431,31097,Operations,region_16,Bachelor's,f,other,1,40,5.0,11,0,57.0,0
46253,36319,Sales & Marketing,region_28,Master's & above,m,other,1,41,2.0,6,0,55.0,0
9076,31139,Operations,region_7,Bachelor's,m,sourcing,2,40,3.0,13,0,54.0,0
37447,51181,Analytics,region_1,Master's & above,m,sourcing,1,35,3.0,4,0,87.0,0
32830,55886,R&D,region_2,Bachelor's,m,other,2,32,3.0,3,0,89.0,0
11996,11630,Technology,region_13,Master's & above,f,sourcing,1,35,5.0,4,0,90.0,1
44199,20445,Operations,region_15,Bachelor's,m,other,1,28,3.0,3,0,56.0,0
18033,26835,HR,region_2,Bachelor's,m,sourcing,1,27,1.0,4,0,47.0,0
28550,75243,Analytics,region_31,Bachelor's,m,other,1,27,5.0,6,0,85.0,0
11475,24495,Sales & Marketing,region_12,Bachelor's,m,other,1,28,5.0,7,0,50.0,0
42016,59375,Technology,region_2,Bachelor's,m,sourcing,2,25,,1,0,81.0,0
29530,25391,Sales & Marketing,region_34,Bachelor's,m,sourcing,1,28,3.0,6,0,49.0,0
42901,51339,Finance,region_26,Bachelor's,m,sourcing,1,31,5.0,5,0,65.0,0
11449,73163,Procurement,region_7,Master's & above,f,other,1,38,3.0,4,0,72.0,0
43611,72386,Sales & Marketing,region_7,Bachelor's,f,other,1,34,3.0,7,0,,0
34694,73863,Analytics,region_20,Bachelor's,f,sourcing,1,28,3.0,2,0,81.0,0
8451,48838,HR,region_22,Bachelor's,f,sourcing,1,26,4.0,2,0,,0
17857,36096,Technology,region_16,Bachelor's,m,other,1,28,3.0,4,0,78.0,0
45288,51171,Sales & Marketing,region_2,Master's & above,m,other,1,60,3.0,33,0,51.0,0
8757,22699,Operations,region_12,Bachelor's,f,other,1,35,3.0,10,0,59.0,0
35124,71928,Sales & Marketing,region_16,Bachelor's,m,other,1,39,4.0,10,0,48.0,0
6971,25581,Analytics,region_6,Bachelor's,f,other,1,32,3.0,8,0,86.0,0
4889,78170,Sales & Marketing,region_17,Bachelor's,m,other,1,27,5.0,4,0,,0
46731,73946,Sales & Marketing,region_13,Bachelor's,m,other,1,46,4.0,15,0,49.0,0
39619,75631,Sales & Marketing,region_11,Master's & above,m,sourcing,2,39,5.0,10,0,63.0,1
19339,5839,Sales & Marketing,region_13,Master's & above,f,other,1,31,5.0,9,0,54.0,0
27751,75405,Procurement,region_23,Master's & above,m,other,1,37,5.0,5,0,85.0,1
36860,62012,Legal,region_22,Master's & above,m,other,1,34,2.0,4,0,58.0,0
15057,59648,Technology,region_5,Bachelor's,f,sourcing,1,32,3.0,4,0,82.0,0
17243,28309,Analytics,region_30,Bachelor's,m,other,1,31,3.0,3,0,85.0,0
19106,37583,HR,region_26,,m,sourcing,1,30,,1,0,48.0,0
27668,9119,Procurement,region_20,Bachelor's,m,sourcing,1,29,5.0,3,0,84.0,1
9099,43167,Technology,region_7,Bachelor's,f,other,1,34,5.0,4,0,84.0,0
32162,20158,Technology,region_2,Bachelor's,m,other,1,34,3.0,8,0,80.0,0
29329,30604,Operations,region_31,Master's & above,f,sourcing,1,44,3.0,16,0,74.0,1
21646,4928,Operations,region_20,Bachelor's,f,other,1,38,3.0,10,0,56.0,0
43264,15236,Sales & Marketing,region_26,Bachelor's,f,other,1,29,5.0,3,0,49.0,0
14642,55542,Technology,region_2,Bachelor's,f,other,1,35,1.0,3,0,81.0,0
23504,55335,Operations,region_22,Master's & above,m,sourcing,1,38,4.0,3,0,64.0,0
25957,68802,Technology,region_9,Bachelor's,m,other,1,31,4.0,7,0,78.0,0
3021,28872,HR,region_32,Bachelor's,m,other,1,30,3.0,5,0,57.0,0
11282,52981,Technology,region_7,Master's & above,f,sourcing,2,36,5.0,5,0,93.0,1
20550,21566,Sales & Marketing,region_21,,m,other,1,31,1.0,6,0,50.0,0
42698,44861,Operations,region_2,Below Secondary,m,sourcing,1,25,,1,0,62.0,0
9792,43487,Sales & Marketing,region_15,,m,other,1,32,2.0,3,0,48.0,0
16422,39245,Operations,region_22,Bachelor's,m,other,2,33,3.0,6,0,60.0,0
