,department,region,education,gender,recruitment_channel,no_of_trainings,age,previous_year_rating,length_of_service,awards_won,avg_training_score,is_promoted,age_viz,age_rank,avg_training_score_viz,rank_avg_training_score
58,1,16,2,1,3,2,27,3,1,0,47,0,21-30,3,10-20,1
59,1,19,2,1,3,1,40,4,7,0,52,0,31-40,4,21-30,2
60,1,4,3,1,3,1,50,4,17,0,47,1,41-50,5,10-20,1
61,1,29,2,1,2,1,25,3,3,0,53,0,21-30,3,21-30,2
62,4,22,2,2,3,1,28,3,1,0,80,0,21-30,3,71-80,5
63,1,1,3,1,2,1,35,4,2,0,52,0,31-40,4,21-30,2
64,5,26,2,1,3,1,34,5,5,0,87,0,31-40,4,above 80,6
65,2,13,3,2,2,1,31,3,3,0,58,0,31-40,4,21-30,2
66,7,22,2,1,3,1,27,3,1,1,58,1,21-30,3,21-30,2
67,1,22,2,1,2,1,27,3,1,0,60,1,21-30,3,above 80,6
68,6,10,2,1,3,1,30,4,6,0,75,0,21-30,3,71-80,5
69,4,31,2,1,3,1,30,3,7,0,84,1,21-30,3,above 80,6
70,2,22,2,2,3,1,50,5,5,0,59,0,41-50,5,21-30,2
71,3,22,3,1,3,1,34,5,7,0,78,1,31-40,4,71-80,5
72,1,2,3,2,2,1,41,1,12,0,52,0,41-50,5,21-30,2
73,1,16,2,1,2,1,32,4,6,0,44,0,31-40,4,10-20,1
74,1,7,2,1,3,1,50,3,14,0,52,0,41-50,5,21-30,2
75,1,2,3,1,2,1,38,4,2,0,49,1,31-40,4,10-20,1
76,1,27,2,1,2,2,29,1,5,0,51,0,21-30,3,21-30,2
77,1,30,2,1,2,1,35,4,3,0,53,0,31-40,4,21-30,2
78,4,2,2,1,3,1,25,3,2,0,91,0,21-30,3,above 80,6
79,1,22,2,1,2,1,30,3,3,0,58,1,21-30,3,21-30,2
80,3,2,2,1,1,1,47,3,7,0,79,0,41-50,5,71-80,5
81,2,4,3,1,2,1,35,2,7,0,53,0,31-40,4,21-30,2
82,1,2,2,1,2,2,25,3,2,0,53,0,21-30,3,21-30,2
83,5,22,2,1,3,1,36,4,8,0,82,0,31-40,4,above 80,6
84,9,7,2,1,3,1,29,3,1,0,65,1,21-30,3,61-70,4
85,2,11,3,2,2,1,42,5,11,0,60,1,41-50,5,21-30,2
86,8,20,2,2,2,1,28,2,6,0,52,0,21-30,3,21-30,2
87,1,2,2,1,2,1,39,1,9,0,49,0,31-40,4,10-20,1
88,6,7,3,1,2,1,32,5,3,0,69,1,31-40,4,61-70,4
89,1,31,2,2,3,1,31,3,1,0,51,0,31-40,4,21-30,2
90,1,2,2,2,2,1,20,3,1,0,55,0,10-20,2,21-30,2
91,4,12,2,1,3,1,34,3,8,0,85,0,31-40,4,above 80,6
92,6,2,3,1,2,2,46,4,3,0,74,0,41-50,5,71-80,5
93,8,2,3,1,3,1,47,3,7,0,44,0,41-50,5,10-20,1
94,2,2,2,2,3,1,44,4,13,0,53,0,41-50,5,21-30,2
95,4,14,2,1,2,1,31,4,4,0,86,0,31-40,4,above 80,6
96,3,26,2,2,2,1,23,3,1,0,77,0,21-30,3,71-80,5
97,2,2,2,2,2,1,33,3,5,0,57,0,31-40,4,21-30,2
98,1,31,2,1,3,1,41,3,12,0,52,0,41-50,5,21-30,2
99,7,2,3,1,3,1,60,5,17,0,59,0,51-60,6,21-30,2
100,2,15,2,1,3,1,31,5,4,0,63,1,31-40,4,61-70,4
101,2,26,2,2,3,1,37,3,11,0,57,0,31-40,4,21-30,2
102,4,7,2,1,2,2,39,3,4,0,83,0,31-40,4,above 80,6
103,1,7,2,1,3,1,40,5,8,0,54,0,31-40,4,21-30,2
104,1,28,3,1,2,1,42,5,4,0,50,0,41-50,5,10-20,1
105,2,13,2,1,3,1,35,4,6,0,57,1,31-40,4,21-30,2
106,2,13,3,2,2,1,41,4,6,0,62,0,41-50,5,61-70,4
107,6,2,2,2,3,1,23,3,2,0,73,0,21-30,3,71-80,5
108,1,16,2,1,2,2,31,3,4,0,50,0,31-40,4,10-20,1
109,4,22,3,1,3,1,42,2,19,0,79,0,41-50,5,71-80,5
110,1,22,2,1,3,3,29,4,2,0,49,0,21-30,3,10-20,1
111,8,13,2,2,3,1,30,3,1,0,54,0,21-30,3,21-30,2
112,2,2,2,1,2,1,41,4,6,0,63,0,41-50,5,61-70,4
113,1,7,2,2,3,1,40,3,2,0,90,1,31-40,4,above 80,6
114,1,2,2,1,1,1,34,5,5,0,49,0,31-40,4,10-20,1
115,1,4,2,2,3,1,31,4,2,0,46,0,31-40,4,10-20,1
116,3,2,2,1,3,1,27,5,2,0,86,1,21-30,3,above 80,6
117,6,21,2,1,2,4,30,3,2,0,72,0,21-30,3,71-80,5
118,6,23,2,2,3,1,27,4,4,0,72,1,21-30,3,71-80,5
119,3,15,2,1,3,4,36,4,7,0,82,0,31-40,4,above 80,6
120,3,2,2,1,2,1,35,4,6,0,77,0,31-40,4,71-80,5
121,1,25,3,1,3,1,34,5,7,0,51,1,31-40,4,21-30,2
122,6,34,3,1,2,1,37,5,3,1,92,1,31-40,4,above 80,6
123,2,22,2,2,2,1,27,3,1,0,58,0,21-30,3,21-30,2
124,6,2,3,1,2,2,47,3,5,0,71,0,41-50,5,71-80,5
125,4,8,2,1,3,1,28,3,1,0,83,0,21-30,3,above 80,6
126,6,27,3,2,3,1,40,5,5,0,68,0,31-40,4,61-70,4
127,1,27,2,2,3,1,30,3,1,0,50,0,21-30,3,10-20,1
128,2,1,3,1,3,1,38,5,9,0,60,0,31-40,4,above 80,6
129,1,25,2,1,3,1,30,3,2,0,47,0,21-30,3,10-20,1
130,1,11,2,2,2,1,28,5,3,0,46,0,21-30,3,10-20,1
131,6,22,2,1,2,2,28,5,4,0,67,0,21-30,3,61-70,4
132,2,29,2,1,2,1,35,4,7,0,58,0,31-40,4,21-30,2
133,4,22,2,1,3,1,32,3,8,0,89,1,31-40,4,above 80,6
134,1,26,3,1,2,1,36,5,8,0,50,0,31-40,4,10-20,1
135,2,7,2,1,2,1,24,3,1,0,56,0,21-30,3,21-30,2
136,3,15,2,1,3,1,27,3,4,0,78,0,21-30,3,71-80,5
137,7,28,3,1,3,2,34,3,7,0,56,0,31-40,4,21-30,2
138,3,14,2,2,3,1,31,4,4,1,78,0,31-40,4,71-80,5
139,3,27,2,2,2,1,30,4,2,0,77,0,21-30,3,71-80,5
140,3,29,2,2,3,2,30,3,7,1,76,0,21-30,3,71-80,5
141,7,23,2,1,2,1,31,3,1,0,56,0,31-40,4,21-30,2
142,4,25,2,1,3,1,30,5,3,0,84,0,21-30,3,above 80,6
143,7,22,2,1,2,1,28,3,2,0,57,0,21-30,3,21-30,2
144,3,2,2,1,3,2,28,3,5,0,81,0,21-30,3,above 80,6
145,1,15,2,1,3,1,29,3,2,0,51,0,21-30,3,21-30,2
146,1,22,3,1,2,1,46,3,11,0,51,0,41-50,5,21-30,2
147,3,29,2,1,2,1,31,5,4,0,80,0,31-40,4,71-80,5
148,6,5,2,1,2,1,28,1,4,0,72,0,21-30,3,71-80,5
149,1,4,3,1,3,1,31,4,6,0,50,0,31-40,4,10-20,1
150,8,7,3,2,3,1,37,3,9,0,48,0,31-40,4,10-20,1
151,3,5,2,2,3,2,34,5,8,0,88,1,31-40,4,above 80,6
152,6,2,2,1,2,1,25,5,3,0,70,1,21-30,3,61-70,4
153,2,22,3,1,2,1,40,4,4,0,57,0,31-40,4,21-30,2
154,2,13,3,1,3,1,43,3,7,0,56,1,41-50,5,21-30,2
155,2,13,2,1,3,1,36,1,5,0,56,0,31-40,4,21-30,2
156,9,29,2,1,2,1,29,3,3,0,63,0,21-30,3,61-70,4
157,7,13,2,1,2,2,35,3,2,0,56,0,31-40,4,21-30,2
158,4,25,3,1,3,1,34,5,2,0,84,0,31-40,4,above 80,6
159,1,16,2,2,2,1,32,4,4,0,60,0,31-40,4,above 80,6
160,8,4,2,1,3,1,27,3,1,0,50,0,21-30,3,10-20,1
161,3,26,2,1,2,1,29,3,5,0,75,0,21-30,3,71-80,5
162,1,5,2,1,2,1,34,1,4,0,48,0,31-40,4,10-20,1
163,6,2,3,1,2,1,37,5,7,0,70,0,31-40,4,61-70,4
164,6,22,2,2,3,1,33,3,3,0,73,0,31-40,4,71-80,5
165,6,2,3,2,3,1,33,5,4,0,67,0,31-40,4,61-70,4
166,1,16,2,2,3,1,39,1,8,0,60,0,31-40,4,above 80,6
167,3,23,3,1,3,1,34,4,7,0,82,0,31-40,4,above 80,6
168,3,22,2,1,3,2,32,4,6,0,84,0,31-40,4,above 80,6
169,1,7,3,1,3,1,34,4,6,0,53,0,31-40,4,21-30,2
170,7,12,2,1,3,1,29,5,6,0,60,0,21-30,3,above 80,6
171,1,2,2,1,2,2,28,1,2,0,50,0,21-30,3,10-20,1
172,3,7,2,2,3,1,28,2,5,0,75,0,21-30,3,71-80,5
173,6,2,3,2,3,2,35,3,9,0,70,0,31-40,4,61-70,4
174,3,2,2,2,3,2,40,3,3,0,86,0,31-40,4,above 80,6
175,1,2,2,2,3,2,27,2,4,0,54,0,21-30,3,21-30,2
176,6,22,2,2,3,3,26,3,3,0,70,0,21-30,3,61-70,4
177,2,2,2,1,2,1,43,2,12,0,57,0,41-50,5,21-30,2
178,7,26,2,1,3,1,23,3,1,0,60,0,21-30,3,above 80,6
179,4,25,2,1,2,1,29,5,6,0,84,0,21-30,3,above 80,6
180,1,14,2,1,2,1,43,3,15,0,51,0,41-50,5,21-30,2
181,1,2,2,1,2,3,27,4,4,0,49,0,21-30,3,10-20,1
182,6,27,2,1,2,1,26,4,4,0,70,0,21-30,3,61-70,4
183,6,13,2,2,3,1,31,5,5,0,72,0,31-40,4,71-80,5
184,2,7,2,1,3,1,40,4,11,0,58,0,31-40,4,21-30,2
185,2,15,2,2,3,2,39,5,12,0,55,0,31-40,4,21-30,2
186,2,2,2,2,3,2,30,3,6,0,57,0,21-30,3,21-30,2
187,3,2,3,1,3,1,47,4,4,0,77,0,41-50,5,71-80,5
188,1,17,2,1,3,1,34,4,7,0,48,1,31-40,4,10-20,1
189,2,2,2,2,3,1,33,4,9,0,64,0,31-40,4,61-70,4
190,1,23,3,1,3,1,41,5,7,0,51,0,41-50,5,21-30,2
191,3,7,2,1,3,1,29,1,4,0,80,0,21-30,3,71-80,5
192,4,31,2,2,3,1,32,3,4,0,86,0,31-40,4,above 80,6
193,6,7,3,2,3,1,47,5,9,0,68,0,41-50,5,61-70,4
194,2,27,2,1,3,1,35,4,3,0,65,0,31-40,4,61-70,4
195,3,22,2,1,3,1,27,4,2,0,75,0,21-30,3,71-80,5
196,4,32,2,1,3,1,29,1,3,0,81,0,21-30,3,above 80,6
197,1,20,2,1,2,2,36,3,9,0,49,0,31-40,4,10-20,1
198,1,15,2,1,3,2,35,1,8,0,39,0,31-40,4,10-20,1
199,6,2,2,2,2,2,34,3,2,0,70,0,31-40,4,61-70,4
200,1,23,3,2,2,1,34,4,5,1,94,1,31-40,4,above 80,6
201,2,2,3,1,2,1,39,3,2,0,60,0,31-40,4,21-30,2
202,1,25,2,1,3,1,26,5,2,0,51,0,21-30,3,21-30,2
203,2,31,2,2,2,1,30,5,4,0,56,0,21-30,3,21-30,2
204,2,16,2,2,3,1,31,4,2,0,62,0,31-40,4,61-70,4
205,8,2,3,1,2,1,44,5,6,0,48,0,41-50,5,10-20,1
206,1,1,2,1,3,1,38,3,4,0,49,0,31-40,4,10-20,1
207,3,26,2,1,3,1,40,1,3,0,78,0,31-40,4,71-80,5
208,9,2,3,1,2,1,50,5,6,1,58,0,41-50,5,21-30,2
209,6,19,3,1,3,1,44,3,12,0,70,0,41-50,5,61-70,4
210,6,2,1,2,3,1,23,1,2,0,69,0,21-30,3,61-70,4
211,1,7,3,2,2,1,36,1,2,0,53,0,31-40,4,21-30,2
212,4,27,2,1,2,1,25,1,4,0,80,0,21-30,3,71-80,5
213,2,28,2,1,2,1,34,5,4,0,58,0,31-40,4,21-30,2
214,4,4,2,1,2,1,28,3,1,0,85,0,21-30,3,above 80,6
215,4,1,2,1,3,2,30,5,6,0,81,0,21-30,3,above 80,6
216,6,12,2,1,2,1,35,1,8,0,67,0,31-40,4,61-70,4
217,4,6,2,1,2,1,33,4,8,0,86,0,31-40,4,above 80,6
218,4,13,3,1,3,1,30,3,4,0,80,0,21-30,3,71-80,5
219,4,26,2,1,3,2,27,5,3,0,85,0,21-30,3,above 80,6
220,6,2,2,1,3,4,29,3,1,0,68,0,21-30,3,61-70,4
221,2,2,2,1,2,1,43,3,3,0,58,0,41-50,5,21-30,2
222,4,22,2,1,3,2,28,3,5,0,86,0,21-30,3,above 80,6
223,6,17,2,1,3,1,31,5,3,0,68,0,31-40,4,61-70,4
224,2,2,2,2,3,1,43,4,12,0,58,0,41-50,5,21-30,2
225,2,4,2,2,3,1,35,5,9,0,60,0,31-40,4,21-30,2
226,1,5,2,1,3,2,35,3,9,0,49,0,31-40,4,10-20,1
227,2,2,3,1,3,1,50,3,8,0,59,0,41-50,5,21-30,2
228,8,17,2,2,3,1,26,4,3,0,50,0,21-30,3,10-20,1
229,1,27,2,1,2,1,32,3,5,0,52,0,31-40,4,21-30,2
230,2,13,3,2,3,1,38,5,2,1,93,1,31-40,4,above 80,6
231,1,26,2,1,3,1,22,4,2,0,51,0,21-30,3,21-30,2
232,8,20,2,1,3,1,28,3,1,0,52,0,21-30,3,21-30,2
233,6,14,2,2,2,1,37,3,9,0,69,0,31-40,4,61-70,4
234,4,2,2,1,2,2,54,3,9,0,86,0,51-60,6,above 80,6
235,1,11,2,1,2,1,36,3,8,0,51,0,31-40,4,21-30,2
236,3,6,2,1,3,1,35,3,8,0,78,0,31-40,4,71-80,5
237,4,29,2,1,3,1,39,3,4,0,85,0,31-40,4,above 80,6
238,2,12,2,2,2,1,31,5,4,0,63,0,31-40,4,61-70,4
239,2,31,2,1,3,2,38,3,7,1,60,0,31-40,4,21-30,2
240,1,22,2,1,2,1,28,1,2,0,48,0,21-30,3,10-20,1
241,1,7,2,1,2,3,26,2,3,0,52,0,21-30,3,21-30,2
242,1,26,2,1,2,1,29,3,1,0,54,0,21-30,3,21-30,2
243,4,20,2,1,2,1,30,3,4,0,84,0,21-30,3,above 80,6
244,2,22,2,1,2,2,37,2,4,0,57,1,31-40,4,21-30,2
245,5,2,2,1,3,1,25,3,1,0,76,0,21-30,3,71-80,5
246,3,22,2,1,1,1,26,4,2,0,82,0,21-30,3,above 80,6
247,3,7,2,1,3,1,31,4,4,0,78,0,31-40,4,71-80,5
248,3,14,2,2,3,1,38,5,7,0,82,0,31-40,4,above 80,6
249,1,13,2,1,3,1,39,4,9,0,49,0,31-40,4,10-20,1
250,1,4,2,1,3,1,30,5,4,1,50,0,21-30,3,10-20,1
251,6,15,3,2,3,1,34,5,8,0,67,0,31-40,4,61-70,4
252,6,23,3,2,3,1,33,3,5,0,72,0,31-40,4,71-80,5
253,3,2,2,2,3,1,29,5,3,0,78,0,21-30,3,71-80,5
254,2,2,2,1,2,1,28,4,2,0,60,0,21-30,3,above 80,6
255,7,22,2,1,2,1,24,3,1,0,56,0,21-30,3,21-30,2
256,4,22,2,1,3,2,26,4,2,0,87,0,21-30,3,above 80,6
257,9,22,2,1,2,1,34,5,4,0,64,0,31-40,4,61-70,4
258,1,27,2,1,2,1,35,3,7,0,46,0,31-40,4,10-20,1
259,3,13,3,1,3,1,43,3,14,0,79,0,41-50,5,71-80,5
260,1,15,2,1,3,1,34,1,8,0,39,0,31-40,4,10-20,1
261,3,7,3,2,3,2,38,3,10,0,88,0,31-40,4,above 80,6
262,2,7,2,2,3,1,34,1,5,0,54,0,31-40,4,21-30,2
263,2,22,2,1,2,1,41,4,4,0,63,0,41-50,5,61-70,4
264,7,7,2,1,2,2,29,1,4,0,60,0,21-30,3,above 80,6
265,2,2,2,1,3,1,33,4,3,0,60,0,31-40,4,above 80,6
266,1,2,3,2,3,1,41,4,5,0,48,0,41-50,5,10-20,1
267,2,2,3,1,3,3,38,3,11,0,57,0,31-40,4,21-30,2
268,6,2,3,2,3,2,54,4,23,0,66,0,51-60,6,61-70,4
269,1,13,3,2,2,2,34,2,8,0,49,0,31-40,4,10-20,1
270,5,2,2,1,3,2,26,5,3,0,87,0,21-30,3,above 80,6
271,2,7,2,2,2,1,35,5,3,0,59,0,31-40,4,21-30,2
272,9,2,1,1,3,1,28,3,1,0,62,0,21-30,3,61-70,4
273,2,33,3,1,3,1,36,3,4,0,60,0,31-40,4,21-30,2
274,3,5,2,1,3,1,45,3,15,0,87,0,41-50,5,above 80,6
275,6,7,3,1,3,1,38,4,7,0,66,0,31-40,4,61-70,4
276,1,27,2,2,3,1,26,2,4,0,47,0,21-30,3,10-20,1
277,4,27,2,1,2,1,31,3,4,0,85,0,31-40,4,above 80,6
278,4,34,2,1,2,1,32,3,7,0,87,0,31-40,4,above 80,6
279,4,6,2,1,2,1,29,4,4,0,78,0,21-30,3,71-80,5
280,1,2,2,2,3,1,40,3,12,0,50,0,31-40,4,10-20,1
281,3,2,2,1,1,2,29,4,6,0,75,0,21-30,3,71-80,5
282,4,28,2,1,3,2,31,5,7,0,87,0,31-40,4,above 80,6
283,7,16,2,1,3,1,32,5,6,0,58,0,31-40,4,21-30,2
284,2,17,2,1,3,1,42,5,11,0,67,0,41-50,5,61-70,4
285,6,15,2,2,2,1,30,5,3,0,65,0,21-30,3,61-70,4
286,6,16,2,2,3,1,24,3,2,0,70,0,21-30,3,61-70,4
287,1,30,2,1,2,1,35,3,7,0,56,0,31-40,4,21-30,2
288,3,5,2,2,2,2,32,1,3,0,80,0,31-40,4,71-80,5
289,8,2,2,2,2,1,22,3,2,0,47,0,21-30,3,10-20,1
290,1,2,2,1,2,2,44,5,14,0,48,0,41-50,5,10-20,1
291,2,16,2,1,3,2,39,3,9,0,58,0,31-40,4,21-30,2
292,3,7,2,2,3,1,46,4,17,0,85,0,41-50,5,above 80,6
293,3,15,2,1,3,1,29,2,5,0,77,0,21-30,3,71-80,5
294,7,7,2,1,3,1,26,1,3,0,59,0,21-30,3,21-30,2
295,2,23,2,1,3,1,35,4,5,0,60,0,31-40,4,above 80,6
296,6,2,2,2,3,1,29,4,2,0,95,1,21-30,3,above 80,6
297,3,13,2,1,2,1,30,2,9,0,79,0,21-30,3,71-80,5
298,1,7,2,1,3,1,45,4,5,0,50,0,41-50,5,10-20,1
299,1,15,2,2,3,1,30,1,6,0,47,0,21-30,3,10-20,1
300,7,32,2,1,2,1,28,2,4,0,59,0,21-30,3,21-30,2
301,3,2,3,1,2,1,46,5,10,0,76,0,41-50,5,71-80,5
302,6,7,2,1,2,1,27,2,2,0,69,0,21-30,3,61-70,4
303,1,11,2,1,2,1,34,2,5,0,47,0,31-40,4,10-20,1
304,4,19,2,1,2,2,32,5,3,0,86,0,31-40,4,above 80,6
305,2,22,2,2,3,1,35,5,10,0,63,0,31-40,4,61-70,4
306,6,27,2,1,3,1,36,4,3,0,66,0,31-40,4,61-70,4
307,6,2,3,2,3,1,58,1,13,0,70,0,51-60,6,61-70,4
308,7,31,2,1,3,1,29,4,4,0,57,0,21-30,3,21-30,2
309,6,2,2,2,1,1,33,3,3,0,67,0,31-40,4,61-70,4
310,2,16,2,2,3,1,32,5,6,0,62,0,31-40,4,61-70,4
311,9,22,1,1,3,1,25,5,2,0,59,0,21-30,3,21-30,2
312,6,13,2,1,3,4,41,2,9,0,68,0,41-50,5,61-70,4
313,6,12,2,2,3,1,25,3,1,0,69,0,21-30,3,61-70,4
314,4,2,3,1,3,1,50,1,7,1,79,0,41-50,5,71-80,5
315,1,26,2,1,3,1,30,1,7,0,53,0,21-30,3,21-30,2
316,3,24,2,1,2,1,28,3,1,0,81,0,21-30,3,above 80,6
317,4,20,3,1,3,1,40,5,5,1,83,1,31-40,4,above 80,6
318,7,2,1,2,3,1,26,3,2,0,60,0,21-30,3,above 80,6
319,3,13,2,1,3,1,35,5,8,0,81,0,31-40,4,above 80,6
320,1,7,3,1,3,1,37,3,7,0,52,0,31-40,4,21-30,2
321,2,22,3,1,3,1,34,3,3,0,75,1,31-40,4,71-80,5
322,2,8,2,1,2,1,25,3,2,0,57,0,21-30,3,21-30,2
323,1,2,2,1,3,1,22,5,2,0,62,1,21-30,3,61-70,4
324,6,2,2,2,3,2,26,5,2,0,68,1,21-30,3,61-70,4
325,3,2,2,2,3,1,31,4,7,0,80,0,31-40,4,71-80,5
326,7,2,2,1,2,4,31,5,3,0,60,0,31-40,4,21-30,2
327,4,25,2,1,2,1,32,3,6,0,86,0,31-40,4,above 80,6
328,1,19,2,1,2,1,36,5,8,0,48,0,31-40,4,10-20,1
329,3,2,2,2,2,1,57,3,19,0,81,0,51-60,6,above 80,6
330,1,2,2,2,2,1,42,4,9,0,51,0,41-50,5,21-30,2
331,1,20,2,1,3,1,28,3,3,0,48,0,21-30,3,10-20,1
332,4,12,2,1,2,2,33,4,3,0,86,0,31-40,4,above 80,6
333,4,2,2,1,2,1,41,3,3,0,86,0,41-50,5,above 80,6
334,2,2,1,1,3,2,26,3,1,0,60,0,21-30,3,above 80,6
335,6,12,2,2,3,1,32,5,5,1,84,1,31-40,4,above 80,6
336,2,2,2,1,3,1,48,3,8,0,57,0,41-50,5,21-30,2
337,2,26,3,1,3,1,41,3,7,0,58,0,41-50,5,21-30,2
338,3,2,3,1,3,1,31,5,4,0,82,0,31-40,4,above 80,6
339,1,26,2,1,3,1,37,4,5,0,54,0,31-40,4,21-30,2
340,4,29,2,1,3,1,30,1,4,0,84,0,21-30,3,above 80,6
341,7,2,1,1,3,1,26,5,2,0,60,0,21-30,3,21-30,2
342,1,13,2,1,2,1,44,5,11,0,42,0,41-50,5,10-20,1
343,2,7,2,2,2,1,44,3,10,0,60,0,41-50,5,21-30,2
344,5,22,3,1,3,1,30,4,2,0,96,1,21-30,3,above 80,6
345,2,22,1,1,3,1,24,3,2,0,59,0,21-30,3,21-30,2
346,1,27,2,1,3,1,40,1,10,0,49,0,31-40,4,10-20,1
347,3,11,3,1,3,1,32,3,5,0,80,0,31-40,4,71-80,5
348,1,2,2,1,2,1,40,5,7,0,53,0,31-40,4,21-30,2
349,3,7,1,2,3,2,24,4,3,0,78,0,21-30,3,71-80,5
350,1,26,2,1,3,1,45,4,15,0,64,1,41-50,5,61-70,4
351,1,2,2,2,3,1,34,5,5,0,60,1,31-40,4,21-30,2
352,2,2,2,2,3,1,58,4,18,0,60,0,51-60,6,21-30,2
353,3,24,2,1,2,1,35,3,7,0,82,0,31-40,4,above 80,6
354,1,16,2,1,3,1,24,4,2,0,51,0,21-30,3,21-30,2
355,1,23,2,1,3,1,35,2,8,0,48,0,31-40,4,10-20,1
356,3,23,2,1,2,1,31,1,2,0,81,0,31-40,4,above 80,6
357,2,29,2,1,3,1,33,3,5,0,60,0,31-40,4,21-30,2
358,8,2,3,2,2,1,44,3,14,0,47,0,41-50,5,10-20,1
359,1,28,2,1,3,1,24,2,2,0,52,1,21-30,3,21-30,2
360,6,2,2,1,3,2,34,2,10,0,69,0,31-40,4,61-70,4
361,1,22,2,1,2,1,37,5,2,0,54,0,31-40,4,21-30,2
362,2,26,2,1,3,2,31,3,4,0,63,0,31-40,4,61-70,4
