,job,marital,education,default,housing,loan,contact,poutcome,age_bin,result_from_ward
85,retired,married,basic.4y,no,no,no,cellular,failure,60-70,1
86,services,married,high.school,no,yes,no,cellular,failure,50-60,1
87,services,married,high.school,no,yes,no,cellular,nonexistent,40-50,1
88,blue-collar,married,basic.4y,unknown,yes,yes,cellular,nonexistent,40-50,1
89,blue-collar,married,basic.6y,no,yes,no,cellular,nonexistent,30-40,1
90,management,single,university.degree,no,no,no,cellular,success,30-40,2
91,management,married,basic.9y,no,yes,yes,cellular,nonexistent,40-50,1
92,housemaid,married,basic.4y,no,no,no,telephone,nonexistent,50-60,1
93,services,divorced,high.school,no,no,no,cellular,nonexistent,40-50,0
94,technician,married,high.school,no,no,no,telephone,nonexistent,40-50,0
95,services,single,basic.6y,no,unknown,unknown,telephone,nonexistent,30-40,0
96,technician,single,high.school,unknown,no,no,cellular,nonexistent,20-30,0
97,admin.,single,high.school,no,yes,no,cellular,nonexistent,20-30,1
98,blue-collar,married,basic.9y,unknown,yes,no,telephone,nonexistent,30-40,1
99,blue-collar,married,professional.course,no,yes,no,cellular,nonexistent,30-40,2
100,technician,single,professional.course,no,no,no,cellular,nonexistent,30-40,0
101,admin.,married,university.degree,unknown,yes,yes,telephone,nonexistent,50-60,2
102,technician,married,university.degree,no,yes,no,cellular,failure,30-40,0
103,services,divorced,unknown,no,no,no,cellular,nonexistent,30-40,0
104,blue-collar,married,basic.4y,no,yes,no,telephone,nonexistent,40-50,1
105,services,divorced,basic.6y,unknown,yes,yes,cellular,nonexistent,40-50,0
106,self-employed,married,university.degree,no,yes,no,telephone,nonexistent,50-60,2
107,admin.,single,university.degree,no,no,yes,telephone,nonexistent,20-30,2
108,technician,single,professional.course,no,yes,yes,cellular,nonexistent,30-40,0
109,admin.,married,high.school,no,no,no,cellular,nonexistent,40-50,1
110,management,married,university.degree,no,no,no,telephone,nonexistent,30-40,2
111,technician,married,basic.9y,no,no,yes,telephone,nonexistent,40-50,0
112,blue-collar,married,basic.4y,no,yes,no,cellular,nonexistent,50-60,1
113,blue-collar,married,basic.6y,unknown,yes,no,telephone,nonexistent,40-50,1
114,admin.,married,high.school,no,yes,no,cellular,success,40-50,1
115,blue-collar,married,basic.9y,no,no,no,cellular,failure,30-40,1
116,services,divorced,high.school,no,no,no,telephone,nonexistent,40-50,1
117,entrepreneur,married,basic.4y,no,no,no,cellular,nonexistent,40-50,1
118,services,married,high.school,no,no,no,telephone,nonexistent,40-50,0
119,admin.,married,high.school,no,no,no,telephone,nonexistent,40-50,1
120,admin.,single,high.school,no,yes,no,telephone,nonexistent,20-30,1
121,admin.,divorced,university.degree,no,yes,no,cellular,nonexistent,50-60,2
122,management,married,university.degree,no,no,no,telephone,nonexistent,30-40,2
123,blue-collar,divorced,high.school,no,yes,no,cellular,nonexistent,20-30,1
124,blue-collar,single,basic.6y,unknown,yes,no,telephone,nonexistent,30-40,1
125,technician,single,unknown,no,no,no,cellular,nonexistent,30-40,0
126,unemployed,married,basic.9y,no,yes,no,cellular,nonexistent,20-30,0
127,blue-collar,divorced,basic.6y,no,no,no,cellular,nonexistent,40-50,1
128,unknown,single,unknown,unknown,no,no,telephone,nonexistent,50-60,0
129,admin.,single,high.school,no,no,yes,cellular,failure,20-30,1
130,housemaid,married,basic.4y,no,no,no,telephone,nonexistent,40-50,1
131,admin.,divorced,high.school,unknown,no,yes,cellular,nonexistent,40-50,1
132,student,single,university.degree,no,no,yes,cellular,nonexistent,20-30,0
133,services,single,high.school,no,yes,no,cellular,nonexistent,30-40,0
134,technician,single,high.school,no,yes,no,cellular,failure,30-40,0
135,blue-collar,married,professional.course,no,no,no,cellular,nonexistent,30-40,2
136,admin.,single,high.school,no,yes,no,cellular,failure,20-30,1
137,admin.,married,university.degree,unknown,no,no,cellular,nonexistent,40-50,2
138,services,married,high.school,unknown,yes,no,cellular,nonexistent,30-40,0
139,admin.,married,university.degree,no,no,no,telephone,nonexistent,30-40,2
140,technician,married,high.school,no,no,no,cellular,nonexistent,30-40,0
141,technician,married,professional.course,no,no,no,cellular,nonexistent,40-50,0
142,blue-collar,married,basic.9y,unknown,yes,no,cellular,nonexistent,50-60,1
143,blue-collar,single,basic.6y,no,no,no,cellular,nonexistent,20-30,1
144,technician,single,professional.course,no,yes,no,cellular,nonexistent,20-30,0
145,technician,single,professional.course,no,yes,no,cellular,nonexistent,30-40,0
146,entrepreneur,married,basic.4y,unknown,yes,no,cellular,nonexistent,40-50,1
147,management,divorced,university.degree,no,yes,no,cellular,nonexistent,40-50,2
148,technician,single,university.degree,no,yes,yes,cellular,nonexistent,20-30,0
149,management,single,university.degree,no,no,no,cellular,nonexistent,40-50,2
150,self-employed,married,university.degree,no,no,yes,cellular,nonexistent,40-50,0
151,blue-collar,married,basic.9y,no,yes,no,telephone,nonexistent,30-40,1
152,admin.,single,university.degree,unknown,no,no,telephone,nonexistent,30-40,2
153,admin.,single,high.school,no,yes,no,telephone,nonexistent,30-40,1
154,management,married,university.degree,no,yes,no,cellular,success,20-30,2
155,admin.,married,university.degree,no,yes,no,cellular,nonexistent,50-60,2
156,technician,married,professional.course,no,no,yes,cellular,nonexistent,30-40,0
157,services,married,high.school,no,yes,no,cellular,nonexistent,40-50,1
158,management,divorced,basic.6y,unknown,yes,no,telephone,nonexistent,50-60,1
159,services,married,high.school,no,yes,no,cellular,nonexistent,20-30,0
160,blue-collar,married,basic.9y,no,yes,no,telephone,nonexistent,20-30,1
161,management,divorced,university.degree,no,yes,no,cellular,nonexistent,50-60,2
162,services,married,basic.9y,no,yes,no,cellular,failure,30-40,0
163,admin.,single,high.school,no,yes,yes,telephone,nonexistent,30-40,1
164,management,married,university.degree,unknown,no,no,telephone,nonexistent,50-60,2
165,admin.,divorced,university.degree,no,no,no,cellular,failure,40-50,2
166,blue-collar,married,basic.4y,unknown,no,no,telephone,nonexistent,40-50,1
167,retired,married,university.degree,no,yes,no,cellular,failure,70-80,2
168,services,single,professional.course,no,yes,no,cellular,failure,20-30,0
169,admin.,married,high.school,no,no,yes,cellular,nonexistent,40-50,1
170,admin.,married,high.school,no,yes,yes,cellular,nonexistent,20-30,1
171,blue-collar,married,basic.9y,unknown,yes,no,cellular,nonexistent,20-30,1
172,admin.,married,university.degree,no,yes,yes,cellular,failure,40-50,2
173,technician,married,high.school,no,yes,yes,cellular,nonexistent,50-60,0
174,admin.,single,university.degree,no,yes,yes,telephone,nonexistent,20-30,2
175,student,single,high.school,no,no,no,cellular,failure,20-30,0
176,self-employed,divorced,professional.course,no,yes,no,cellular,nonexistent,30-40,0
177,technician,divorced,professional.course,no,yes,yes,cellular,nonexistent,30-40,0
178,services,married,professional.course,unknown,no,no,telephone,nonexistent,50-60,0
179,services,single,professional.course,no,no,no,telephone,nonexistent,20-30,0
180,admin.,married,university.degree,no,yes,yes,cellular,nonexistent,30-40,2
181,admin.,married,university.degree,no,no,no,cellular,nonexistent,30-40,2
182,unemployed,married,high.school,no,yes,no,cellular,success,40-50,0
183,management,married,professional.course,no,no,no,cellular,nonexistent,30-40,2
184,management,married,university.degree,no,no,no,telephone,nonexistent,40-50,2
185,blue-collar,married,basic.9y,no,no,no,telephone,nonexistent,40-50,1
186,blue-collar,single,basic.9y,unknown,no,no,telephone,nonexistent,30-40,1
187,blue-collar,married,basic.9y,unknown,yes,no,telephone,nonexistent,20-30,1
188,admin.,married,basic.6y,no,no,no,cellular,failure,50-60,1
189,blue-collar,married,basic.9y,no,yes,yes,cellular,nonexistent,40-50,1
190,entrepreneur,single,high.school,no,yes,no,cellular,nonexistent,40-50,1
191,admin.,married,university.degree,no,yes,no,cellular,nonexistent,40-50,2
192,technician,married,professional.course,no,yes,no,cellular,nonexistent,50-60,0
193,management,married,university.degree,no,no,no,cellular,nonexistent,50-60,2
194,admin.,single,university.degree,no,yes,no,cellular,success,40-50,2
195,services,married,high.school,unknown,yes,no,cellular,nonexistent,40-50,1
196,admin.,single,high.school,unknown,no,no,cellular,success,30-40,1
197,blue-collar,married,basic.9y,no,yes,no,cellular,nonexistent,30-40,1
198,self-employed,married,high.school,no,no,no,telephone,nonexistent,40-50,0
199,admin.,divorced,high.school,no,no,no,cellular,nonexistent,50-60,1
200,blue-collar,married,basic.4y,unknown,yes,no,cellular,nonexistent,40-50,1
201,unknown,married,basic.6y,no,no,no,cellular,nonexistent,40-50,0
202,admin.,married,university.degree,no,yes,yes,cellular,nonexistent,40-50,2
203,housemaid,married,professional.course,no,yes,no,telephone,nonexistent,50-60,2
204,technician,single,university.degree,no,no,no,telephone,nonexistent,30-40,0
205,admin.,single,university.degree,no,no,no,cellular,nonexistent,30-40,2
206,blue-collar,married,high.school,unknown,no,no,telephone,nonexistent,30-40,1
207,management,single,university.degree,no,yes,no,telephone,nonexistent,30-40,2
208,blue-collar,single,basic.4y,unknown,unknown,unknown,cellular,nonexistent,40-50,1
209,blue-collar,married,basic.9y,no,no,no,telephone,nonexistent,30-40,1
210,technician,divorced,professional.course,no,no,no,cellular,failure,30-40,0
211,self-employed,divorced,university.degree,no,no,no,cellular,nonexistent,40-50,0
212,technician,married,professional.course,unknown,yes,no,cellular,nonexistent,40-50,0
213,technician,divorced,unknown,no,yes,no,cellular,nonexistent,30-40,0
214,blue-collar,married,basic.9y,no,no,no,telephone,failure,50-60,1
215,admin.,single,university.degree,no,yes,no,cellular,failure,20-30,2
216,self-employed,single,basic.9y,unknown,yes,yes,telephone,nonexistent,30-40,0
217,self-employed,married,basic.6y,unknown,no,no,cellular,nonexistent,30-40,0
218,admin.,single,university.degree,no,no,no,cellular,nonexistent,40-50,2
219,entrepreneur,married,basic.4y,no,yes,no,cellular,nonexistent,30-40,1
220,management,married,university.degree,no,no,no,cellular,nonexistent,30-40,2
221,management,single,university.degree,no,no,yes,telephone,nonexistent,20-30,2
222,admin.,married,university.degree,no,no,yes,cellular,nonexistent,30-40,2
223,technician,married,professional.course,no,no,no,telephone,nonexistent,30-40,0
224,technician,divorced,professional.course,no,yes,no,telephone,nonexistent,30-40,0
225,admin.,married,unknown,no,no,no,telephone,nonexistent,40-50,2
226,technician,married,professional.course,no,yes,no,cellular,nonexistent,40-50,0
227,management,married,university.degree,no,no,no,cellular,nonexistent,50-60,2
228,admin.,single,high.school,no,no,no,cellular,nonexistent,20-30,1
229,blue-collar,married,basic.4y,unknown,unknown,unknown,cellular,nonexistent,40-50,1
230,blue-collar,married,basic.9y,no,no,no,cellular,success,30-40,1
231,student,single,unknown,unknown,no,no,cellular,nonexistent,30-40,0
232,management,divorced,basic.6y,unknown,yes,yes,telephone,nonexistent,40-50,1
233,admin.,married,university.degree,unknown,no,no,cellular,nonexistent,50-60,2
234,technician,married,professional.course,no,yes,no,telephone,nonexistent,30-40,0
235,blue-collar,divorced,basic.4y,unknown,yes,yes,cellular,failure,50-60,1
236,blue-collar,married,high.school,no,no,no,cellular,failure,30-40,1
237,admin.,single,university.degree,no,yes,no,cellular,nonexistent,20-30,2
238,unemployed,married,basic.9y,no,yes,no,cellular,nonexistent,40-50,0
239,technician,single,professional.course,no,yes,yes,telephone,nonexistent,20-30,0
240,management,married,university.degree,no,no,no,cellular,success,40-50,2
241,blue-collar,married,basic.4y,unknown,yes,no,telephone,nonexistent,50-60,1
242,admin.,single,university.degree,no,no,no,cellular,success,40-50,2
243,unemployed,married,professional.course,unknown,yes,no,cellular,nonexistent,50-60,0
244,blue-collar,married,basic.6y,no,yes,no,cellular,nonexistent,50-60,1
245,technician,married,high.school,no,no,no,cellular,failure,30-40,0
246,blue-collar,married,basic.4y,no,yes,no,telephone,nonexistent,40-50,1
247,admin.,married,university.degree,no,no,no,telephone,nonexistent,30-40,2
248,technician,married,professional.course,unknown,no,no,telephone,nonexistent,40-50,0
249,technician,divorced,university.degree,no,no,no,telephone,nonexistent,50-60,0
250,blue-collar,single,high.school,no,no,no,cellular,nonexistent,20-30,1
251,blue-collar,married,basic.6y,no,no,no,cellular,nonexistent,40-50,1
252,self-employed,married,high.school,no,yes,no,telephone,nonexistent,30-40,0
253,services,divorced,high.school,unknown,yes,no,telephone,nonexistent,50-60,1
254,retired,divorced,basic.4y,no,no,no,telephone,nonexistent,50-60,1
255,technician,married,professional.course,no,yes,no,telephone,nonexistent,30-40,0
256,admin.,married,professional.course,no,yes,no,telephone,nonexistent,20-30,2
257,blue-collar,married,basic.6y,no,yes,no,cellular,nonexistent,30-40,1
258,services,married,high.school,no,no,no,telephone,nonexistent,30-40,0
259,admin.,married,high.school,no,no,no,cellular,success,20-30,1
260,entrepreneur,married,basic.9y,no,no,no,telephone,nonexistent,30-40,1
261,technician,married,university.degree,no,yes,yes,cellular,nonexistent,40-50,0
262,technician,married,professional.course,no,no,no,cellular,nonexistent,30-40,0
263,admin.,single,high.school,no,yes,yes,cellular,nonexistent,40-50,1
264,blue-collar,married,high.school,no,no,no,telephone,nonexistent,30-40,1
265,entrepreneur,divorced,university.degree,unknown,no,no,cellular,nonexistent,50-60,2
266,services,married,high.school,no,yes,no,cellular,failure,30-40,0
267,management,married,university.degree,no,yes,no,telephone,nonexistent,40-50,2
268,technician,single,university.degree,no,no,no,telephone,nonexistent,30-40,0
269,retired,married,university.degree,no,yes,no,cellular,success,70-80,2
270,technician,married,professional.course,no,yes,no,cellular,nonexistent,30-40,0
271,services,single,university.degree,no,yes,yes,cellular,failure,20-30,0
272,blue-collar,married,basic.9y,no,no,no,cellular,nonexistent,40-50,1
273,blue-collar,single,basic.9y,no,yes,yes,cellular,nonexistent,20-30,1
274,entrepreneur,married,professional.course,no,no,no,telephone,nonexistent,40-50,2
275,blue-collar,married,basic.9y,no,no,yes,telephone,nonexistent,30-40,1
276,services,single,high.school,no,yes,no,telephone,nonexistent,20-30,0
277,retired,married,professional.course,no,no,no,cellular,failure,60-70,2
278,services,married,high.school,no,yes,no,cellular,nonexistent,20-30,0
279,blue-collar,married,basic.9y,no,no,no,cellular,nonexistent,30-40,1
280,services,married,high.school,unknown,no,no,cellular,nonexistent,50-60,1
281,management,married,basic.9y,no,no,no,cellular,nonexistent,40-50,1
282,technician,single,high.school,no,no,no,cellular,nonexistent,20-30,0
283,admin.,married,high.school,no,yes,no,cellular,nonexistent,20-30,1
284,blue-collar,single,unknown,no,yes,yes,cellular,nonexistent,30-40,2
285,admin.,single,university.degree,no,no,no,cellular,nonexistent,20-30,2
286,admin.,single,university.degree,no,yes,no,telephone,nonexistent,20-30,2
287,blue-collar,married,high.school,unknown,no,no,telephone,nonexistent,30-40,1
288,services,single,high.school,no,no,no,cellular,nonexistent,20-30,0
289,blue-collar,married,basic.9y,no,yes,no,telephone,nonexistent,50-60,1
290,technician,single,university.degree,no,no,no,cellular,failure,30-40,0
291,services,married,high.school,no,no,no,telephone,nonexistent,30-40,0
292,admin.,married,high.school,no,yes,no,cellular,success,30-40,1
293,blue-collar,married,high.school,unknown,no,no,telephone,nonexistent,40-50,1
294,unemployed,married,high.school,no,unknown,unknown,cellular,failure,30-40,0
295,blue-collar,married,basic.9y,no,yes,no,cellular,nonexistent,30-40,1
296,admin.,married,university.degree,no,yes,no,cellular,failure,50-60,2
297,admin.,single,university.degree,no,no,no,telephone,nonexistent,20-30,2
298,admin.,divorced,high.school,no,yes,yes,cellular,nonexistent,40-50,1
299,blue-collar,single,basic.4y,no,no,no,cellular,nonexistent,20-30,1
300,technician,married,university.degree,no,no,yes,telephone,nonexistent,30-40,0
301,unemployed,single,university.degree,no,yes,no,cellular,nonexistent,30-40,0
302,admin.,single,professional.course,no,yes,no,cellular,nonexistent,30-40,2
303,retired,married,university.degree,no,yes,no,telephone,success,70-80,2
304,retired,divorced,basic.4y,no,no,no,telephone,nonexistent,50-60,1
305,admin.,single,high.school,no,yes,no,telephone,nonexistent,20-30,1
306,blue-collar,married,basic.9y,unknown,yes,yes,cellular,failure,30-40,1
307,management,single,university.degree,no,no,no,cellular,failure,30-40,2
308,retired,married,basic.4y,no,no,no,telephone,nonexistent,50-60,1
309,admin.,married,high.school,unknown,no,no,cellular,nonexistent,50-60,1
310,blue-collar,married,basic.6y,no,no,no,telephone,nonexistent,30-40,1
311,blue-collar,married,basic.4y,unknown,yes,no,telephone,nonexistent,50-60,1
312,admin.,married,high.school,no,no,no,telephone,nonexistent,30-40,1
313,blue-collar,single,basic.9y,no,yes,no,telephone,nonexistent,20-30,1
314,admin.,single,university.degree,unknown,no,yes,cellular,nonexistent,30-40,2
315,blue-collar,married,basic.4y,unknown,no,no,cellular,nonexistent,30-40,1
316,technician,married,university.degree,no,no,no,cellular,nonexistent,50-60,0
317,management,married,university.degree,no,yes,no,telephone,nonexistent,30-40,2
318,management,divorced,university.degree,no,yes,yes,telephone,nonexistent,50-60,2
319,blue-collar,married,basic.6y,unknown,no,no,cellular,nonexistent,50-60,1
320,management,married,university.degree,no,no,no,cellular,nonexistent,50-60,2
321,technician,married,high.school,no,yes,yes,cellular,nonexistent,40-50,0
322,management,single,university.degree,no,yes,yes,cellular,nonexistent,30-40,2
323,management,married,professional.course,unknown,yes,no,telephone,nonexistent,40-50,2
324,admin.,single,high.school,unknown,no,no,cellular,nonexistent,20-30,1
325,admin.,single,high.school,no,yes,no,telephone,nonexistent,30-40,1
326,admin.,married,high.school,no,yes,no,cellular,nonexistent,20-30,1
327,technician,divorced,professional.course,no,yes,no,cellular,nonexistent,30-40,0
328,admin.,married,university.degree,no,no,no,cellular,nonexistent,40-50,2
329,services,married,basic.9y,no,yes,no,cellular,nonexistent,30-40,0
330,admin.,single,university.degree,no,no,no,telephone,nonexistent,40-50,2
331,blue-collar,divorced,basic.9y,no,no,no,cellular,nonexistent,30-40,1
332,blue-collar,single,basic.9y,no,yes,yes,cellular,nonexistent,20-30,1
333,services,married,high.school,unknown,no,no,cellular,nonexistent,30-40,0
334,blue-collar,single,basic.4y,unknown,no,no,telephone,nonexistent,20-30,1
335,technician,single,professional.course,no,no,no,cellular,nonexistent,20-30,0
336,blue-collar,married,basic.9y,unknown,no,no,cellular,nonexistent,30-40,1
337,admin.,married,professional.course,no,no,no,telephone,nonexistent,30-40,2
338,blue-collar,married,basic.9y,unknown,yes,yes,cellular,nonexistent,20-30,1
339,technician,single,professional.course,no,yes,no,cellular,nonexistent,30-40,0
340,services,married,high.school,no,no,no,telephone,failure,40-50,0
341,services,married,basic.9y,no,yes,no,cellular,nonexistent,30-40,0
342,services,married,high.school,no,no,no,telephone,nonexistent,30-40,0
343,services,divorced,basic.9y,no,no,no,cellular,nonexistent,30-40,0
344,management,divorced,professional.course,no,yes,no,cellular,nonexistent,50-60,2
345,admin.,married,university.degree,unknown,no,no,cellular,nonexistent,30-40,2
346,technician,married,professional.course,no,yes,yes,cellular,nonexistent,30-40,0
347,blue-collar,divorced,basic.4y,unknown,yes,yes,telephone,nonexistent,40-50,1
348,housemaid,married,professional.course,no,no,no,telephone,nonexistent,50-60,2
349,technician,married,professional.course,unknown,yes,no,telephone,nonexistent,50-60,0
350,blue-collar,single,unknown,no,yes,yes,telephone,nonexistent,20-30,2
351,services,married,high.school,unknown,yes,no,telephone,nonexistent,30-40,0
352,technician,married,university.degree,unknown,yes,no,cellular,nonexistent,40-50,0
353,blue-collar,married,basic.9y,no,unknown,unknown,telephone,nonexistent,30-40,1
354,services,married,university.degree,no,no,no,cellular,nonexistent,40-50,0
355,blue-collar,married,basic.9y,no,yes,no,telephone,nonexistent,40-50,1
356,retired,married,basic.4y,no,yes,no,telephone,nonexistent,50-60,1
357,management,married,university.degree,no,yes,no,cellular,nonexistent,30-40,2
358,admin.,married,university.degree,no,yes,no,telephone,nonexistent,30-40,2
359,services,married,basic.9y,no,no,yes,cellular,nonexistent,30-40,0
360,management,married,university.degree,no,yes,no,cellular,nonexistent,50-60,2
361,services,married,high.school,no,yes,no,telephone,nonexistent,40-50,0
362,technician,divorced,high.school,no,no,no,cellular,nonexistent,40-50,0
363,unknown,unknown,unknown,unknown,yes,no,cellular,nonexistent,50-60,0
364,blue-collar,married,unknown,no,yes,yes,cellular,failure,30-40,2
365,admin.,married,high.school,no,no,yes,cellular,failure,30-40,1
366,self-employed,married,illiterate,no,yes,no,cellular,nonexistent,30-40,0
367,technician,single,high.school,no,no,no,cellular,nonexistent,30-40,0
368,admin.,single,university.degree,no,yes,yes,cellular,nonexistent,30-40,2
369,admin.,single,university.degree,no,no,no,cellular,nonexistent,20-30,2
370,blue-collar,married,basic.4y,no,yes,no,telephone,nonexistent,20-30,1
371,blue-collar,married,basic.4y,no,no,no,telephone,nonexistent,40-50,1
372,admin.,married,high.school,no,yes,no,telephone,nonexistent,30-40,1
373,retired,single,high.school,no,yes,no,telephone,nonexistent,50-60,1
374,blue-collar,married,basic.9y,no,yes,no,telephone,nonexistent,50-60,1
375,services,married,high.school,no,no,no,telephone,nonexistent,40-50,0
376,retired,divorced,basic.4y,no,no,no,cellular,nonexistent,80-90,1
377,blue-collar,married,basic.9y,no,yes,no,cellular,nonexistent,20-30,1
378,technician,married,professional.course,no,no,yes,cellular,nonexistent,20-30,0
379,blue-collar,married,basic.9y,unknown,no,no,telephone,nonexistent,50-60,1
380,entrepreneur,married,high.school,no,no,no,cellular,failure,30-40,1
381,admin.,married,university.degree,unknown,yes,no,cellular,nonexistent,30-40,2
382,admin.,single,university.degree,no,no,no,cellular,nonexistent,30-40,2
383,blue-collar,married,basic.9y,unknown,no,no,cellular,nonexistent,30-40,1
384,services,married,professional.course,no,yes,yes,cellular,nonexistent,30-40,0
385,blue-collar,single,basic.4y,no,yes,yes,telephone,nonexistent,30-40,1
386,blue-collar,married,professional.course,no,no,no,cellular,failure,30-40,2
387,management,married,university.degree,no,unknown,unknown,telephone,nonexistent,20-30,2
